% Station Andøya, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% Octa-based data (http://eklima.met.no) period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 2016	2017	
% Seasonally mean period: 2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2004	1	1	1	0	 -1.4148E-06	 -1.0355E-06	 -1.0295E-05	 -1.0764E-04	 -2.3253E-06	 -7.4662E-07	 -3.8834E-06	 -3.5416E-08	 -2.8029E-06	 -8.7174E-04	 -1.4117E-08	0.98
2004	1	1	1	1	  3.8711E-06	  2.4102E-06	  1.5883E-05	 -6.8533E-05	  5.1750E-06	  2.6138E-06	  1.0660E-05	  9.0193E-08	  9.1234E-07	 -1.6580E-04	 -1.9196E-09	1.00
2004	1	1	1	2	 -5.2560E-07	 -4.7601E-07	 -4.0632E-06	 -1.4327E-04	 -1.0577E-06	 -3.3606E-07	 -1.6078E-06	 -1.5534E-08	 -2.4827E-06	 -9.8229E-04	 -1.5340E-08	0.98
2004	1	1	1	3	  3.2882E-06	  2.3414E-06	  1.7047E-05	  9.0792E-06	  5.1352E-06	  2.3842E-06	  1.0010E-05	  8.8771E-08	  2.0658E-06	  1.1378E-04	  1.8554E-09	1.00
2004	1	1	1	4	 -1.5301E-06	 -1.1430E-06	 -7.9357E-06	 -3.2722E-06	 -2.5155E-06	 -1.2055E-06	 -4.9373E-06	 -4.4174E-08	 -8.8229E-07	 -3.4666E-05	 -4.5794E-10	1.00
2004	1	1	1	5	 -3.2189E-06	 -2.5278E-06	 -1.8812E-05	 -7.7313E-06	 -5.6093E-06	 -2.5675E-06	 -1.0777E-05	 -9.8425E-08	 -2.1752E-06	  1.4247E-04	  2.7634E-09	0.98
2004	1	1	1	6	 -1.3202E-06	 -8.1220E-07	 -3.9499E-06	 -6.7369E-05	 -1.6820E-06	 -9.2122E-07	 -3.4769E-06	 -2.9119E-08	 -1.4372E-06	 -4.7461E-04	 -7.3986E-09	1.00
2004	1	1	1	7	 -3.2338E-06	 -2.4360E-06	 -1.7298E-05	 -3.8751E-05	 -5.3555E-06	 -2.5076E-06	 -1.0379E-05	 -9.3557E-08	 -2.4645E-06	 -1.4159E-04	 -1.8266E-09	1.00
2004	1	1	1	8	 -3.7642E-06	 -2.3946E-06	 -1.8468E-05	  5.3969E-04	 -5.5388E-06	 -2.8633E-06	 -1.1952E-05	 -9.6919E-08	  6.7553E-06	  9.8299E-04	  1.0851E-08	0.98
2004	1	1	1	9	  1.2894E-05	  1.5742E-05	  9.9696E-05	  1.3518E-02	  2.7508E-05	  4.6294E-06	  2.4026E-05	  4.3612E-07	  2.3377E-04	  2.7137E-02	  3.1665E-07	1.00
2004	1	1	1	10	  6.2104E-05	  7.7563E-05	  4.5765E-04	  7.1272E-02	  1.3320E-04	  2.1620E-05	  1.0792E-04	  2.0833E-06	  1.2180E-03	  1.5542E-01	  1.8802E-06	1.00
2004	1	1	1	11	  9.1184E-05	  1.1802E-04	  6.5991E-04	  1.1415E-01	  1.9962E-04	  3.0893E-05	  1.5004E-04	  3.1064E-06	  1.9377E-03	  2.5565E-01	  3.1245E-06	0.98
