% Station Blindern, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by the University of Oslo (email: arne.dahlback@fys.uio.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1900	- 1900
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	
% Pyranometer-based gapfilling for station Bergen, period 1995-2021: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no).
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-2021: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-2021: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-2021: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2001	1	1	1	0	 -3.2522E-05	 -3.2773E-05	 -1.4856E-04	 -7.6578E-04	 -1.1008E-04	 -1.9071E-05	 -5.8440E-05	 -1.6911E-06	 -4.0187E-05	 -2.9036E-03	 -4.0548E-08	0.98
2001	1	1	1	1	 -4.5778E-05	 -4.6133E-05	 -2.0914E-04	 -1.0833E-03	 -1.5493E-04	 -2.6848E-05	 -8.2268E-05	 -2.3805E-06	 -5.6670E-05	 -4.0519E-03	 -5.6298E-08	1.00
2001	1	1	1	2	 -3.9550E-05	 -3.9854E-05	 -1.8064E-04	 -9.0803E-04	 -1.3390E-04	 -2.3176E-05	 -7.1044E-05	 -2.0569E-06	 -4.8578E-05	 -3.4110E-03	 -4.7487E-08	0.98
2001	1	1	1	3	 -3.5289E-05	 -3.5560E-05	 -1.6118E-04	 -8.0388E-04	 -1.1949E-04	 -2.0681E-05	 -6.3397E-05	 -1.8354E-06	 -4.3236E-05	 -3.0435E-03	 -4.2472E-08	1.00
2001	1	1	1	4	 -3.1826E-05	 -3.2073E-05	 -1.4546E-04	 -7.2069E-04	 -1.0775E-04	 -1.8679E-05	 -5.7233E-05	 -1.6558E-06	 -3.8905E-05	 -2.6982E-03	 -3.7387E-08	1.00
2001	1	1	1	5	 -2.8725E-05	 -2.8947E-05	 -1.3125E-04	 -6.4817E-04	 -9.7253E-05	 -1.6844E-05	 -5.1627E-05	 -1.4944E-06	 -3.5121E-05	 -2.3981E-03	 -3.3134E-08	0.98
2001	1	1	1	6	 -2.7091E-05	 -2.7301E-05	 -1.2378E-04	 -6.1407E-04	 -9.1716E-05	 -1.5881E-05	 -4.8679E-05	 -1.4093E-06	 -3.3182E-05	 -2.2525E-03	 -3.1047E-08	1.00
2001	1	1	1	7	 -2.2706E-05	 -2.2874E-05	 -1.0401E-04	 -2.7388E-04	 -7.7224E-05	 -1.3386E-05	 -4.1032E-05	 -1.1863E-06	 -2.3978E-05	 -1.3885E-03	 -2.0361E-08	1.00
2001	1	1	1	8	  2.6392E-05	  2.8539E-05	  5.2526E-05	  6.7062E-02	 -3.1825E-06	  1.3591E-07	 -5.4122E-06	 -2.7666E-08	  1.0624E-03	  1.7473E-01	  2.2303E-06	0.98
2001	1	1	1	9	  2.5359E-04	  2.6674E-04	  5.9820E-04	  3.6441E-01	  3.5499E-04	  4.6005E-05	  1.1630E-04	  5.5647E-06	  5.9653E-03	  8.7964E-01	  1.0947E-05	1.00
2001	1	1	1	10	  7.2957E-04	  7.5608E-04	  1.7909E-03	  8.7613E-01	  1.2042E-03	  1.2341E-04	  3.6392E-04	  1.9122E-05	  1.4729E-02	  2.0894E+00	  2.6410E-05	1.00
2001	1	1	1	11	  9.5472E-04	  9.8523E-04	  2.5018E-03	  1.1154E+00	  1.5722E-03	  1.5719E-04	  4.8968E-04	  2.5265E-05	  1.8867E-02	  2.7031E+00	  3.4721E-05	0.98
2001	1	1	1	12	  8.9229E-04	  9.2079E-04	  2.3117E-03	  1.0287E+00	  1.4894E-03	  1.4591E-04	  4.5693E-04	  2.3859E-05	  1.7424E-02	  2.4681E+00	  3.1533E-05	1.00
2001	1	1	1	13	  6.8016E-04	  7.0671E-04	  1.6317E-03	  8.1808E-01	  1.1355E-03	  1.1473E-04	  3.3518E-04	  1.7923E-05	  1.3739E-02	  1.8961E+00	  2.3505E-05	0.98
2001	1	1	1	14	  2.2941E-04	  2.4124E-04	  5.7231E-04	  3.2376E-01	  3.3283E-04	  4.5109E-05	  1.1536E-04	  5.1524E-06	  5.2864E-03	  7.8435E-01	  9.7394E-06	1.00
2001	1	1	1	15	  9.2579E-06	  9.9612E-06	  1.9553E-05	  2.2035E-02	  9.7085E-07	  1.8053E-07	 -1.1406E-06	  1.9744E-08	  3.5020E-04	  5.6953E-02	  7.2482E-07	1.00
2001	1	1	1	16	 -3.6386E-06	 -3.6684E-06	 -1.6727E-05	 -7.6153E-05	 -1.2315E-05	 -2.1694E-06	 -6.6160E-06	 -1.8986E-07	 -4.2844E-06	 -3.1862E-04	 -4.4414E-09	0.98
2001	1	1	1	17	  4.3888E-06	  4.4215E-06	  2.0048E-05	  8.1648E-05	  1.4892E-05	  2.5731E-06	  7.8920E-06	  2.2856E-07	  5.0887E-06	  3.4845E-04	  5.0212E-09	1.00
2001	1	1	1	18	  1.2166E-05	  1.2256E-05	  5.5500E-05	  2.5639E-04	  4.1244E-05	  7.1096E-06	  2.1819E-05	  6.3274E-07	  1.4608E-05	  1.0267E-03	  1.4650E-08	1.00
2001	1	1	1	19	  1.4375E-05	  1.4482E-05	  6.5543E-05	  3.2645E-04	  4.8707E-05	  8.3953E-06	  2.5762E-05	  7.4707E-07	  1.7608E-05	  1.3028E-03	  1.8633E-08	0.98
2001	1	1	1	20	  1.4707E-05	  1.4818E-05	  6.7134E-05	  3.1005E-04	  4.9843E-05	  8.6008E-06	  2.6391E-05	  7.6516E-07	  1.7685E-05	  1.1804E-03	  1.6529E-08	1.00
2001	1	1	1	21	  1.8544E-05	  1.8684E-05	  8.4691E-05	  3.8737E-04	  6.2850E-05	  1.0864E-05	  3.3317E-05	  9.6499E-07	  2.2185E-05	  1.5282E-03	  2.1583E-08	1.00
2001	1	1	1	22	  2.1141E-05	  2.1301E-05	  9.6575E-05	  4.3224E-04	  7.1668E-05	  1.2396E-05	  3.8006E-05	  1.1004E-06	  2.5118E-05	  1.7475E-03	  2.4828E-08	0.98
2001	1	1	1	23	  2.1567E-05	  2.1733E-05	  9.8632E-05	  4.4629E-04	  7.3078E-05	  1.2678E-05	  3.8840E-05	  1.1230E-06	  2.5670E-05	  1.7645E-03	  2.4761E-08	0.98
2001	1	2	2	0	  3.3809E-06	  3.4085E-06	  1.5571E-05	  5.9458E-05	  1.1457E-05	  2.0255E-06	  6.1710E-06	  1.7673E-07	  3.7876E-06	  2.7921E-04	  3.9630E-09	1.00
2001	1	2	2	1	 -1.4975E-05	 -1.5090E-05	 -6.8381E-05	 -3.3504E-04	 -5.0714E-05	 -8.7665E-06	 -2.6885E-05	 -7.7889E-07	 -1.8287E-05	 -1.2465E-03	 -1.7309E-08	0.98
2001	1	2	2	2	 -1.3164E-05	 -1.3264E-05	 -6.0075E-05	 -2.8866E-04	 -4.4605E-05	 -7.6994E-06	 -2.3620E-05	 -6.8459E-07	 -1.5973E-05	 -1.1274E-03	 -1.5947E-08	1.00
2001	1	2	2	3	 -1.1613E-05	 -1.1701E-05	 -5.3055E-05	 -2.3666E-04	 -3.9356E-05	 -6.8021E-06	 -2.0864E-05	 -6.0453E-07	 -1.3838E-05	 -8.8361E-04	 -1.2227E-08	1.00
2001	1	2	2	4	 -1.0532E-05	 -1.0613E-05	 -4.8046E-05	 -2.4911E-04	 -3.5657E-05	 -6.1514E-06	 -1.8875E-05	 -5.4736E-07	 -1.3089E-05	 -9.1216E-04	 -1.2674E-08	0.98
2001	1	2	2	5	 -1.0024E-05	 -1.0097E-05	 -4.5580E-05	 -2.4222E-04	 -3.3975E-05	 -5.8208E-06	 -1.7889E-05	 -5.2009E-07	 -1.2525E-05	 -9.9907E-04	 -1.4598E-08	1.00
