% Station Blindern, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by the University of Oslo (email: arne.dahlback@fys.uio.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% Octa-based data (http://eklima.met.no) period: 1995	1996	1997	1998	1999	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2004	1	1	1	0	 -1.7090E-05	 -1.7218E-05	 -7.8090E-05	 -2.9639E-04	 -5.8003E-05	 -1.0012E-05	 -3.0723E-05	 -8.9054E-07	 -1.9563E-05	 -1.1927E-03	 -1.6833E-08	0.98
2004	1	1	1	1	 -3.1353E-05	 -3.1587E-05	 -1.4322E-04	 -5.7934E-04	 -1.0638E-04	 -1.8370E-05	 -5.6357E-05	 -1.6329E-06	 -3.6370E-05	 -2.3753E-03	 -3.3818E-08	1.00
2004	1	1	1	2	 -3.4533E-05	 -3.4792E-05	 -1.5778E-04	 -6.5567E-04	 -1.1713E-04	 -2.0248E-05	 -6.2099E-05	 -1.7984E-06	 -4.0288E-05	 -2.6837E-03	 -3.8171E-08	0.98
2004	1	1	1	3	 -3.4865E-05	 -3.5127E-05	 -1.5930E-04	 -6.5817E-04	 -1.1826E-04	 -2.0435E-05	 -6.2682E-05	 -1.8158E-06	 -4.0662E-05	 -2.6406E-03	 -3.7321E-08	1.00
2004	1	1	1	4	 -3.4896E-05	 -3.5160E-05	 -1.5948E-04	 -6.5926E-04	 -1.1834E-04	 -2.0457E-05	 -6.2747E-05	 -1.8176E-06	 -4.0740E-05	 -2.5735E-03	 -3.6012E-08	1.00
2004	1	1	1	5	 -3.1019E-05	 -3.1255E-05	 -1.4174E-04	 -6.1674E-04	 -1.0515E-04	 -1.8185E-05	 -5.5767E-05	 -1.6151E-06	 -3.6667E-05	 -2.3872E-03	 -3.3376E-08	0.98
2004	1	1	1	6	 -2.5346E-05	 -2.5539E-05	 -1.1584E-04	 -5.0427E-04	 -8.5921E-05	 -1.4869E-05	 -4.5588E-05	 -1.3198E-06	 -2.9939E-05	 -1.9734E-03	 -2.7662E-08	1.00
2004	1	1	1	7	 -1.8995E-05	 -1.9131E-05	 -8.6979E-05	 -1.4275E-04	 -6.4730E-05	 -1.1171E-05	 -3.4296E-05	 -9.9369E-07	 -1.8841E-05	 -8.5544E-04	 -1.2803E-08	1.00
2004	1	1	1	8	  2.7569E-05	  2.8719E-05	  6.6027E-05	  4.2877E-02	  3.6497E-05	  1.5873E-07	  2.9776E-06	  4.6804E-07	  7.0256E-04	  1.0492E-01	  1.3204E-06	0.98
2004	1	1	1	9	  3.1155E-04	  3.2111E-04	  7.3652E-04	  3.2183E-01	  6.4317E-04	  5.0749E-05	  1.6250E-04	  8.9463E-06	  5.4173E-03	  7.7303E-01	  9.7605E-06	1.00
2004	1	1	1	10	  8.9585E-04	  9.1847E-04	  2.2081E-03	  8.7340E-01	  1.7444E-03	  1.4687E-04	  4.8512E-04	  2.6390E-05	  1.4968E-02	  2.1032E+00	  2.7054E-05	1.00
2004	1	1	1	11	  1.2279E-03	  1.2559E-03	  3.2535E-03	  1.1847E+00	  2.3040E-03	  2.0390E-04	  6.9150E-04	  3.5912E-05	  2.0415E-02	  2.8940E+00	  3.7767E-05	0.98
2004	1	1	1	12	  1.2417E-03	  1.2707E-03	  3.2494E-03	  1.1985E+00	  2.3436E-03	  2.0744E-04	  6.9739E-04	  3.6429E-05	  2.0639E-02	  2.9131E+00	  3.7870E-05	1.00
