% Station Blindern, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by the University of Oslo (email: arne.dahlback@fys.uio.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% Octa-based data (http://eklima.met.no) period: 1995	1996	1997	1998	1999	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2008	1	1	1	0	 -1.1686E-05	 -1.1773E-05	 -5.3391E-05	 -2.1756E-04	 -3.9646E-05	 -6.8512E-06	 -2.1014E-05	 -6.0864E-07	 -1.3568E-05	 -9.0023E-04	 -1.2843E-08	0.98
2008	1	1	1	1	 -1.2361E-05	 -1.2451E-05	 -5.6370E-05	 -2.2060E-04	 -4.1969E-05	 -7.2108E-06	 -2.2155E-05	 -6.4344E-07	 -1.4269E-05	 -9.2063E-04	 -1.3289E-08	1.00
2008	1	1	1	2	 -1.1079E-05	 -1.1160E-05	 -5.0564E-05	 -1.8391E-04	 -3.7627E-05	 -6.4731E-06	 -1.9883E-05	 -5.7713E-07	 -1.2572E-05	 -7.7444E-04	 -1.1144E-08	0.98
2008	1	1	1	3	 -9.3373E-06	 -9.4038E-06	 -4.2545E-05	 -1.6211E-04	 -3.1720E-05	 -5.4378E-06	 -1.6717E-05	 -4.8593E-07	 -1.0712E-05	 -7.0728E-04	 -1.0378E-08	1.00
2008	1	1	1	4	 -8.4730E-06	 -8.5325E-06	 -3.8573E-05	 -1.4483E-04	 -2.8793E-05	 -4.9227E-06	 -1.5146E-05	 -4.4083E-07	 -9.7067E-06	 -6.3277E-04	 -9.3304E-09	1.00
2008	1	1	1	5	 -7.1114E-06	 -7.1592E-06	 -3.2282E-05	 -1.3025E-04	 -2.4177E-05	 -4.1081E-06	 -1.2659E-05	 -3.6937E-07	 -8.2909E-06	 -5.9977E-04	 -9.0802E-09	0.98
2008	1	1	1	6	 -8.1408E-06	 -8.1964E-06	 -3.7002E-05	 -1.3301E-04	 -2.7684E-05	 -4.7087E-06	 -1.4510E-05	 -4.2336E-07	 -9.2723E-06	 -5.8251E-04	 -8.6683E-09	1.00
2008	1	1	1	7	 -9.3662E-06	 -9.4195E-06	 -4.2994E-05	  2.2039E-04	 -3.2372E-05	 -5.5243E-06	 -1.7033E-05	 -4.9512E-07	 -4.8143E-06	  2.3923E-04	  1.3273E-09	1.00
2008	1	1	1	8	  6.1233E-05	  6.4292E-05	  1.7464E-04	  9.8830E-02	  7.4748E-05	  1.3278E-05	  3.1979E-05	  1.0973E-06	  1.5780E-03	  2.7152E-01	  3.5524E-06	0.98
2008	1	1	1	9	  5.8932E-04	  6.1437E-04	  1.3597E-03	  7.8746E-01	  9.5503E-04	  1.1103E-04	  2.8974E-04	  1.3686E-05	  1.2867E-02	  2.0541E+00	  2.6674E-05	1.00
2008	1	1	1	10	  1.2958E-03	  1.3398E-03	  3.1083E-03	  1.5698E+00	  2.1690E-03	  2.2061E-04	  6.4072E-04	  3.3309E-05	  2.6231E-02	  3.9828E+00	  5.1973E-05	1.00
2008	1	1	1	11	  1.5303E-03	  1.5764E-03	  3.9947E-03	  1.7617E+00	  2.5672E-03	  2.5963E-04	  8.0160E-04	  4.0693E-05	  2.9754E-02	  4.4061E+00	  5.7557E-05	0.98
2008	1	1	1	12	  2.1128E-03	  2.1783E-03	  5.3836E-03	  2.5096E+00	  3.5015E-03	  3.6283E-04	  1.0861E-03	  5.4905E-05	  4.2140E-02	  6.4282E+00	  8.4746E-05	1.00
