% Station Blindern, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station was drifted by the University of Oslo in the period 1995-2019 (email: arne.dahlback@fys.uio.no). Instrument was moved to Kjeller in 2019, and is now drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 13:59:49
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2010	1	1	1	0	  3.8918E-05	  3.9199E-05	  1.7760E-04	  6.7393E-04	  1.3220E-04	  2.2776E-05	  6.9907E-05	  2.0266E-06	  4.4332E-05	  3.1465E-03	  4.6629E-08	1.00
2010	1	1	1	1	  7.5118E-06	  7.5722E-06	  3.4363E-05	  1.8758E-04	  2.5390E-05	  4.4140E-06	  1.3516E-05	  3.9072E-07	  9.4671E-06	  6.3009E-04	  8.3739E-09	1.00
2010	1	1	1	2	  6.4351E-06	  6.4857E-06	  2.9414E-05	  1.5505E-04	  2.1769E-05	  3.7772E-06	  1.1571E-05	  3.3467E-07	  8.0129E-06	  5.5873E-04	  7.6476E-09	0.98
2010	1	1	1	3	  5.1580E-06	  5.1988E-06	  2.3592E-05	  1.3088E-04	  1.7441E-05	  3.0376E-06	  9.2926E-06	  2.6820E-07	  6.4867E-06	  5.0061E-04	  6.9809E-09	1.00
2010	1	1	1	4	  5.1268E-06	  5.1688E-06	  2.3565E-05	  1.0705E-04	  1.7351E-05	  3.0546E-06	  9.3177E-06	  2.6751E-07	  6.0421E-06	  4.3808E-04	  6.0643E-09	1.00
2010	1	1	1	5	  3.2939E-06	  3.3211E-06	  1.5156E-05	  6.3645E-05	  1.1151E-05	  1.9652E-06	  5.9940E-06	  1.7204E-07	  3.8082E-06	  2.5338E-04	  3.4400E-09	0.98
2010	1	1	1	6	  3.1655E-06	  3.1926E-06	  1.4643E-05	  4.9839E-05	  1.0723E-05	  1.9153E-06	  5.8195E-06	  1.6588E-07	  3.4340E-06	  2.3454E-04	  3.2249E-09	1.00
2010	1	1	1	7	  3.1702E-06	  3.2185E-06	  1.4172E-05	  6.4396E-04	  9.8718E-06	  1.8039E-06	  5.4066E-06	  1.5424E-07	  1.2675E-05	  1.6577E-03	  2.0534E-08	1.00
2010	1	1	1	8	  1.2283E-04	  1.2876E-04	  3.8664E-04	  1.7149E-01	  1.8010E-04	  3.1569E-05	  8.3596E-05	  2.8315E-06	  2.7719E-03	  4.4034E-01	  5.5821E-06	0.98
2010	1	1	1	9	  9.4440E-04	  9.8755E-04	  2.2350E-03	  1.2585E+00	  1.5010E-03	  1.8255E-04	  4.7718E-04	  2.2438E-05	  2.0639E-02	  3.1340E+00	  3.9734E-05	1.00
2010	1	1	1	10	  2.0090E-03	  2.0865E-03	  4.9487E-03	  2.4921E+00	  3.2214E-03	  3.6053E-04	  1.0182E-03	  5.1720E-05	  4.1714E-02	  5.9847E+00	  7.5707E-05	1.00
2010	1	1	1	11	  2.9684E-03	  3.0734E-03	  7.9964E-03	  3.4899E+00	  4.7841E-03	  5.3636E-04	  1.6043E-03	  7.9596E-05	  5.9128E-02	  8.0593E+00	  1.0051E-04	0.98
2010	1	1	1	12	  2.8767E-03	  2.9774E-03	  7.5104E-03	  3.4784E+00	  4.6137E-03	  5.1786E-04	  1.5133E-03	  7.5083E-05	  5.8529E-02	  8.4386E+00	  1.0795E-04	1.00
2010	1	1	1	13	  1.9697E-03	  2.0477E-03	  4.6797E-03	  2.4875E+00	  3.1844E-03	  3.5669E-04	  9.8115E-04	  4.9728E-05	  4.1377E-02	  6.1249E+00	  7.8230E-05	0.98
2010	1	1	1	14	  6.9144E-04	  7.2411E-04	  1.7398E-03	  9.3660E-01	  1.0841E-03	  1.4410E-04	  3.7456E-04	  1.6140E-05	  1.5273E-02	  2.3551E+00	  2.9842E-05	1.00
2010	1	1	1	15	  4.4367E-05	  4.6390E-05	  1.4168E-04	  5.8712E-02	  6.9633E-05	  1.1516E-05	  3.1484E-05	  1.0844E-06	  9.5281E-04	  1.4947E-01	  1.8890E-06	1.00
2010	1	1	1	16	 -6.7227E-07	 -6.7974E-07	 -3.3716E-06	  6.5549E-05	 -2.3520E-06	 -4.8627E-07	 -1.4260E-06	 -3.7711E-08	  5.5995E-07	  1.3054E-04	  1.7490E-09	0.98
2010	1	1	1	17	 -1.6773E-06	 -1.6956E-06	 -7.8425E-06	 -6.1310E-05	 -5.6072E-06	 -1.0427E-06	 -3.1317E-06	 -8.7750E-08	 -2.3159E-06	 -1.9071E-04	 -2.2635E-09	1.00
2010	1	1	1	18	 -2.0249E-06	 -2.0437E-06	 -9.3513E-06	 -5.6264E-05	 -6.8154E-06	 -1.2166E-06	 -3.6982E-06	 -1.0567E-07	 -2.6069E-06	 -1.6308E-04	 -1.9255E-09	1.00
2010	1	1	1	19	 -1.1914E-06	 -1.2040E-06	 -5.5722E-06	 -3.3615E-05	 -3.9965E-06	 -7.3882E-07	 -2.2240E-06	 -6.2505E-08	 -1.5039E-06	 -9.8392E-05	 -1.0804E-09	0.98
2010	1	1	1	20	 -2.9060E-07	 -2.9355E-07	 -1.3578E-06	 -5.1607E-06	 -9.7900E-07	 -1.7882E-07	 -5.4062E-07	 -1.5292E-08	 -3.2605E-07	 -1.0726E-05	 -6.8679E-11	1.00
2010	1	1	1	21	 -1.3323E-06	 -1.3433E-06	 -6.1260E-06	 -3.2086E-05	 -4.5048E-06	 -7.9710E-07	 -2.4266E-06	 -6.9447E-08	 -1.6192E-06	 -1.4355E-04	 -2.0548E-09	1.00
2010	1	1	1	22	 -4.0421E-06	 -4.0750E-06	 -1.8580E-05	 -7.8789E-05	 -1.3688E-05	 -2.4071E-06	 -7.3457E-06	 -2.1101E-07	 -4.6841E-06	 -3.2460E-04	 -4.4866E-09	0.98
2010	1	1	1	23	 -5.7011E-06	 -5.7470E-06	 -2.6185E-05	 -9.2923E-05	 -1.9324E-05	 -3.3762E-06	 -1.0329E-05	 -2.9786E-07	 -6.4093E-06	 -3.2360E-04	 -4.1612E-09	0.98
2010	1	2	2	0	  1.4645E-05	  1.4731E-05	  6.6297E-05	  1.8593E-04	  5.0013E-05	  8.4374E-06	  2.6039E-05	  7.6086E-07	  1.5656E-05	  1.4032E-03	  2.3402E-08	1.00
2010	1	2	2	1	  1.0449E-05	  1.0532E-05	  4.7823E-05	  2.7829E-04	  3.5323E-05	  6.1787E-06	  1.8871E-05	  5.4317E-07	  1.3235E-05	  1.1646E-03	  1.6679E-08	0.98
2010	1	2	2	2	  1.1394E-05	  1.1485E-05	  5.2208E-05	  2.8062E-04	  3.8534E-05	  6.7490E-06	  2.0610E-05	  5.9298E-07	  1.4095E-05	  1.1619E-03	  1.6480E-08	1.00
2010	1	2	2	3	  1.3392E-05	  1.3500E-05	  6.1407E-05	  3.1704E-04	  4.5302E-05	  7.9417E-06	  2.4248E-05	  6.9741E-07	  1.6374E-05	  1.3041E-03	  1.8383E-08	1.00
2010	1	2	2	4	  1.3900E-05	  1.4012E-05	  6.3802E-05	  3.2281E-04	  4.7021E-05	  8.2671E-06	  2.5220E-05	  7.2426E-07	  1.6847E-05	  1.3646E-03	  1.9304E-08	0.98
2010	1	2	2	5	  1.4430E-05	  1.4549E-05	  6.6346E-05	  3.1284E-04	  4.8821E-05	  8.6090E-06	  2.6246E-05	  7.5282E-07	  1.7141E-05	  1.3014E-03	  1.8125E-08	1.00
2010	1	2	2	6	  1.2353E-05	  1.2455E-05	  5.6789E-05	  2.6308E-04	  4.1792E-05	  7.3582E-06	  2.2447E-05	  6.4455E-07	  1.4661E-05	  1.0298E-03	  1.4042E-08	1.00
2010	1	2	2	7	  9.6537E-06	  9.7576E-06	  4.3541E-05	  1.0068E-03	  3.1528E-05	  5.5440E-06	  1.6863E-05	  4.8680E-07	  2.3977E-05	  2.7603E-03	  3.5210E-08	0.98
2010	1	2	2	8	  1.3379E-04	  1.3936E-04	  4.2699E-04	  1.6778E-01	  2.2549E-04	  3.4732E-05	  9.7598E-05	  3.4187E-06	  2.7297E-03	  4.3266E-01	  5.5120E-06	1.00
2010	1	2	2	9	  1.0269E-03	  1.0675E-03	  2.4342E-03	  1.2449E+00	  1.8295E-03	  1.9444E-04	  5.4082E-04	  2.6512E-05	  2.0569E-02	  3.1029E+00	  3.9537E-05	1.00
2010	1	2	2	10	  2.3638E-03	  2.4407E-03	  5.8081E-03	  2.7132E+00	  4.0967E-03	  4.1765E-04	  1.2360E-03	  6.3583E-05	  4.5628E-02	  6.7286E+00	  8.6991E-05	0.98
2010	1	2	2	11	  3.5459E-03	  3.6496E-03	  9.4413E-03	  3.9171E+00	  6.0825E-03	  6.2743E-04	  1.9472E-03	  9.7174E-05	  6.6482E-02	  9.6280E+00	  1.2485E-04	1.00
2010	1	2	2	12	  3.6035E-03	  3.7065E-03	  9.3194E-03	  4.0576E+00	  6.1962E-03	  6.3100E-04	  1.9313E-03	  9.6974E-05	  6.8487E-02	  1.0370E+01	  1.3694E-04	1.00
2010	1	2	2	13	  2.4232E-03	  2.5032E-03	  5.7265E-03	  2.8255E+00	  4.2713E-03	  4.2888E-04	  1.2415E-03	  6.4143E-05	  4.7207E-02	  7.1977E+00	  9.3948E-05	0.98
2010	1	2	2	14	  8.5385E-04	  8.8798E-04	  2.1310E-03	  1.0636E+00	  1.5146E-03	  1.7645E-04	  4.8196E-04	  2.1360E-05	  1.7400E-02	  2.7624E+00	  3.5687E-05	1.00
2010	1	2	2	15	  6.4639E-05	  6.6974E-05	  2.1948E-04	  6.8893E-02	  1.2591E-04	  1.9773E-05	  5.7243E-05	  1.9093E-06	  1.1296E-03	  1.7815E-01	  2.2729E-06	1.00
2010	1	2	2	16	  3.9109E-06	  3.9430E-06	  1.7655E-05	  2.0478E-04	  1.3089E-05	  2.2292E-06	  6.8596E-06	  2.0058E-07	  6.6751E-06	  5.7901E-04	  7.5628E-09	0.98
2010	1	2	2	17	 -8.9324E-07	 -9.0183E-07	 -4.1612E-06	 -2.0374E-05	 -3.0109E-06	 -5.5106E-07	 -1.6623E-06	 -4.6844E-08	 -1.0453E-06	 -8.6307E-05	 -1.1429E-09	1.00
2010	1	2	2	18	 -5.0134E-06	 -5.0537E-06	 -2.3004E-05	 -9.8689E-05	 -1.6976E-05	 -2.9675E-06	 -9.0736E-06	 -2.6153E-07	 -5.8765E-06	 -3.6290E-04	 -4.8634E-09	1.00
2010	1	2	2	19	 -7.8614E-06	 -7.9235E-06	 -3.6035E-05	 -1.5604E-04	 -2.6631E-05	 -4.6462E-06	 -1.4212E-05	 -4.0987E-07	 -9.2228E-06	 -6.1433E-04	 -8.4938E-09	0.98
2010	1	2	2	20	 -1.2166E-05	 -1.2262E-05	 -5.5800E-05	 -2.1712E-04	 -4.1225E-05	 -7.1852E-06	 -2.1993E-05	 -6.3491E-07	 -1.3976E-05	 -7.6917E-04	 -1.0128E-08	1.00
2010	1	2	2	21	 -1.2912E-05	 -1.3012E-05	 -5.9104E-05	 -2.3706E-04	 -4.3780E-05	 -7.5979E-06	 -2.3280E-05	 -6.7313E-07	 -1.4933E-05	 -9.1930E-04	 -1.2704E-08	1.00
