% Station Bergen, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:10:53
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 2014	2015	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2016	2017	2018	2019	2020	2021	2022	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1998	1	1	1	0	  1.5093E-07	  1.4366E-07	  1.4300E-06	  4.6154E-05	  2.7405E-07	 -2.7332E-08	  3.6479E-08	  5.6961E-09	  1.1268E-06	  1.4368E-04	  3.0697E-09	0.98
1998	1	1	1	1	  3.7693E-08	  3.3224E-08	  3.6419E-06	  2.0101E-04	  2.5282E-07	 -2.1869E-07	  3.5987E-07	 -6.6100E-10	  2.4736E-06	  1.3155E-03	  2.1283E-08	1.00
1998	1	1	1	2	  1.5295E-07	  1.4872E-07	  2.8270E-06	  5.1971E-05	  3.9270E-07	 -5.0399E-08	  3.0163E-07	  6.2103E-09	  1.0757E-06	  1.3279E-04	  2.1217E-09	0.98
1998	1	1	1	3	 -5.6956E-07	 -5.8204E-07	 -6.6100E-07	 -3.5507E-05	 -1.1639E-06	 -9.1280E-07	 -1.3957E-06	 -2.7323E-08	 -1.1362E-06	 -3.3935E-04	 -6.1363E-09	1.00
1998	1	1	1	4	 -8.7687E-07	 -8.8395E-07	  2.0270E-06	 -4.7449E-05	 -1.4607E-06	 -1.3113E-06	 -1.2312E-06	 -4.0112E-08	 -2.3129E-06	 -3.1330E-04	 -7.8241E-09	1.00
1998	1	1	1	5	 -1.1909E-06	 -1.2151E-06	 -6.8098E-06	 -5.3311E-06	 -2.7665E-06	 -1.6134E-06	 -3.4082E-06	 -5.8704E-08	 -1.4083E-06	 -6.0385E-05	 -8.0858E-10	0.98
1998	1	1	1	6	 -4.3556E-07	 -4.4796E-07	 -5.8688E-06	  6.6457E-06	 -1.2848E-06	 -5.2822E-07	 -1.8555E-06	 -2.2813E-08	 -1.3286E-08	 -7.5303E-05	 -1.9213E-10	1.00
1998	1	1	1	7	 -8.0513E-07	 -8.1253E-07	 -1.6910E-06	  1.0783E-04	 -1.5874E-06	 -1.0644E-06	 -1.5155E-06	 -3.9501E-08	 -1.1864E-07	  8.4180E-04	  1.2454E-08	1.00
1998	1	1	1	8	  1.3573E-05	  1.3951E-05	  6.8362E-05	  1.2948E-02	  2.4167E-05	  4.4627E-06	  1.3895E-05	  4.0909E-07	  2.2060E-04	  2.8953E-02	  3.4557E-07	0.98
1998	1	1	1	9	  1.4341E-04	  1.4818E-04	  5.8004E-04	  1.6180E-01	  2.3853E-04	  3.7581E-05	  1.1146E-04	  3.8648E-06	  2.7096E-03	  3.7733E-01	  4.5952E-06	1.00
1998	1	1	1	10	  1.5562E-04	  1.6115E-04	  5.3634E-04	  1.8596E-01	  2.4931E-04	  3.1198E-05	  9.7426E-05	  3.9587E-06	  3.1250E-03	  4.2708E-01	  5.2387E-06	1.00
1998	1	1	1	11	  2.4432E-04	  2.5205E-04	  9.0690E-04	  2.6668E-01	  4.0451E-04	  4.8531E-05	  1.6767E-04	  6.5817E-06	  4.5605E-03	  5.7660E-01	  6.9067E-06	0.98
1998	1	1	1	12	  7.2103E-04	  7.4000E-04	  3.2255E-03	  7.3671E-01	  1.2404E-03	  1.4743E-04	  5.9105E-04	  2.0358E-05	  1.2623E-02	  1.7155E+00	  2.1748E-05	1.00
1998	1	1	1	13	  7.7749E-04	  7.9930E-04	  3.5773E-03	  7.9729E-01	  1.3361E-03	  1.6870E-04	  6.6085E-04	  2.1995E-05	  1.3648E-02	  1.8057E+00	  2.2382E-05	0.98
1998	1	1	1	14	  4.1895E-04	  4.3253E-04	  1.8360E-03	  4.6152E-01	  7.0392E-04	  1.0459E-04	  3.4742E-04	  1.1457E-05	  7.7699E-03	  1.0709E+00	  1.3149E-05	1.00
1998	1	1	1	15	  7.5069E-05	  7.7387E-05	  3.3424E-04	  8.0584E-02	  1.2920E-04	  2.2743E-05	  6.8885E-05	  2.1146E-06	  1.3471E-03	  1.9598E-01	  2.4334E-06	1.00
1998	1	1	1	16	  1.1080E-06	  1.1304E-06	  9.0696E-06	  8.2391E-04	  2.3091E-06	  4.4981E-07	  1.9224E-06	  3.8712E-08	  1.4009E-05	  2.1878E-03	  2.8304E-08	0.98
1998	1	1	1	17	  1.7097E-07	  1.7101E-07	 -1.1215E-06	 -1.6598E-05	  2.3219E-07	  2.8346E-07	  1.2323E-07	  7.9780E-09	  1.6850E-07	 -5.7260E-05	  2.2380E-11	1.00
1998	1	1	1	18	  1.5739E-07	  1.5560E-07	 -9.8727E-07	  7.9725E-05	  1.8547E-07	  1.9868E-07	  3.4440E-08	  5.7985E-09	  1.4257E-06	  5.1668E-04	  9.4076E-09	1.00
