% Station Bergen, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 2014	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1900	- 1900
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2015	2016	2017	2018	2019	2020	2021	
% Pyranometer-based gapfilling for station Bergen, period 1995-2021: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no).
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-2021: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-2021: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-2021: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2008	1	1	1	0	  2.8335E-07	  2.6795E-07	  6.8383E-06	  2.0383E-05	  7.9668E-07	 -2.1950E-07	  5.6176E-07	  1.2466E-08	  1.0052E-06	 -6.4494E-05	 -2.3643E-10	0.98
2008	1	1	1	1	  1.5870E-06	  1.5851E-06	  1.9127E-05	  1.3349E-04	  4.0230E-06	  1.1112E-06	  4.4081E-06	  7.5011E-08	  3.9597E-06	  6.7740E-04	  1.2019E-08	1.00
2008	1	1	1	2	  1.6948E-07	  1.5177E-07	  5.4283E-06	  1.0879E-04	  4.3005E-07	 -4.4714E-07	 -4.0500E-08	  4.8730E-09	  2.3299E-06	  1.4095E-04	  2.5472E-09	0.98
2008	1	1	1	3	  1.0062E-06	  1.0159E-06	  9.0496E-06	  8.2153E-05	  2.4413E-06	  1.0077E-06	  2.8254E-06	  4.7992E-08	  2.3605E-06	  4.2319E-04	  6.9727E-09	1.00
2008	1	1	1	4	  5.9247E-07	  5.9858E-07	  5.7708E-06	  3.3892E-05	  1.4732E-06	  5.8545E-07	  1.7359E-06	  2.8600E-08	  1.1660E-06	  1.6165E-04	  2.5427E-09	1.00
2008	1	1	1	5	  2.5053E-07	  2.4914E-07	  2.1812E-06	  6.1243E-05	  5.5981E-07	  1.7546E-07	  5.3206E-07	  1.0940E-08	  1.2424E-06	  3.2511E-04	  5.6875E-09	0.98
2008	1	1	1	6	 -1.6500E-07	 -1.7519E-07	 -3.1854E-06	  5.1588E-05	 -6.1513E-07	 -2.7451E-07	 -1.0675E-06	 -1.0175E-08	  8.8576E-07	  2.0578E-04	  4.4368E-09	1.00
2008	1	1	1	7	 -3.8066E-07	 -3.9263E-07	 -9.9566E-07	  5.1158E-05	 -8.6438E-07	 -6.7793E-07	 -1.1726E-06	 -1.9881E-08	  3.7394E-07	  1.7914E-04	  2.9031E-09	1.00
2008	1	1	1	8	  2.2324E-05	  2.3043E-05	  9.3797E-05	  2.8226E-02	  3.7148E-05	  5.0240E-06	  1.7974E-05	  5.6150E-07	  4.5855E-04	  7.9602E-02	  1.0559E-06	0.98
2008	1	1	1	9	  5.2071E-04	  5.3988E-04	  1.6793E-03	  6.9562E-01	  8.2259E-04	  1.1800E-04	  3.4529E-04	  1.2337E-05	  1.1308E-02	  1.9146E+00	  2.5269E-05	1.00
2008	1	1	1	10	  1.7729E-03	  1.8297E-03	  5.9539E-03	  2.1718E+00	  2.8433E-03	  3.7464E-04	  1.1757E-03	  4.4674E-05	  3.5981E-02	  5.8022E+00	  7.7529E-05	1.00
2008	1	1	1	11	  2.9062E-03	  2.9855E-03	  1.0801E-02	  3.3151E+00	  4.7952E-03	  5.7936E-04	  2.0402E-03	  7.6806E-05	  5.5553E-02	  8.8632E+00	  1.2021E-04	0.98
2008	1	1	1	12	  3.1173E-03	  3.2012E-03	  1.1890E-02	  3.4673E+00	  5.1836E-03	  6.1988E-04	  2.2249E-03	  8.3605E-05	  5.8435E-02	  8.9997E+00	  1.2059E-04	1.00
2008	1	1	1	13	  2.3112E-03	  2.3800E-03	  8.2062E-03	  2.6991E+00	  3.7634E-03	  4.7580E-04	  1.5730E-03	  6.0117E-05	  4.5135E-02	  7.0417E+00	  9.3794E-05	0.98
2008	1	1	1	14	  1.0110E-03	  1.0462E-03	  3.2727E-03	  1.2876E+00	  1.6016E-03	  2.2848E-04	  6.6093E-04	  2.4797E-05	  2.1157E-02	  3.4500E+00	  4.5550E-05	1.00
2008	1	1	1	15	  1.2916E-04	  1.3366E-04	  4.6216E-04	  1.6721E-01	  2.0973E-04	  3.1982E-05	  9.6205E-05	  3.1761E-06	  2.7147E-03	  4.6488E-01	  6.1152E-06	1.00
2008	1	1	1	16	  1.3004E-06	  1.3341E-06	  4.2847E-06	  9.1048E-04	  2.3776E-06	  9.7877E-07	  1.8521E-06	  4.5932E-08	  1.5742E-05	  2.4156E-03	  3.1775E-08	0.98
2008	1	1	1	17	  7.7985E-07	  7.8830E-07	  2.7588E-06	 -3.4246E-06	  1.6331E-06	  1.0193E-06	  1.7493E-06	  3.7498E-08	  1.1333E-06	  4.5220E-06	  1.2329E-09	1.00
2008	1	1	1	18	 -1.0100E-06	 -1.0358E-06	 -2.5334E-06	 -8.0278E-06	 -2.1689E-06	 -1.5773E-06	 -2.6623E-06	 -4.9480E-08	 -1.3317E-06	 -2.2362E-05	 -2.2812E-10	1.00
2008	1	1	1	19	 -4.0369E-07	 -4.0215E-07	 -2.3191E-06	 -1.9042E-05	 -8.3767E-07	 -3.6636E-07	 -7.3700E-07	 -1.8566E-08	 -1.0489E-06	 -2.3912E-05	 -1.2435E-09	0.98
2008	1	1	1	20	 -1.2134E-06	 -1.2329E-06	 -8.8863E-06	 -3.5649E-06	 -2.8890E-06	 -1.4490E-06	 -3.4509E-06	 -5.9534E-08	 -1.5503E-06	  9.3053E-05	  1.8481E-09	1.00
2008	1	1	1	21	 -8.7947E-07	 -8.8597E-07	 -6.7110E-06	 -5.0717E-05	 -2.0293E-06	 -8.8930E-07	 -2.2075E-06	 -4.1682E-08	 -1.9881E-06	 -1.6015E-04	 -3.0310E-09	1.00
2008	1	1	1	22	 -3.6211E-07	 -3.7024E-07	 -3.2836E-06	 -3.5173E-05	 -9.0546E-07	 -3.9981E-07	 -1.1233E-06	 -1.7415E-08	 -9.0464E-07	 -5.2128E-05	 -4.5399E-11	0.98
2008	1	1	1	23	 -9.5899E-07	 -9.7946E-07	 -3.0442E-06	 -4.3274E-05	 -2.0418E-06	 -1.3564E-06	 -2.3633E-06	 -4.5941E-08	 -1.9333E-06	 -7.0315E-05	 -9.6830E-10	0.98
2008	1	2	2	0	 -2.0047E-07	 -2.0072E-07	 -4.1842E-07	 -1.3977E-04	 -3.4514E-07	 -1.6502E-07	 -2.4663E-07	 -7.1265E-09	 -2.2863E-06	 -7.0813E-04	 -1.1708E-08	1.00
2008	1	2	2	1	 -1.1431E-06	 -1.1549E-06	 -1.2993E-05	 -9.4222E-05	 -2.9530E-06	 -1.0191E-06	 -3.5289E-06	 -5.5002E-08	 -2.5843E-06	 -3.8996E-04	 -5.5149E-09	0.98
