% Station Bergen, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2014	2015	2016	2017	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2010	1	1	1	0	  1.1969E-06	  1.1886E-06	  8.5285E-06	  5.3214E-05	  2.5764E-06	  9.8754E-07	  2.3146E-06	  5.5286E-08	  2.9684E-06	  1.7200E-04	  5.6402E-09	0.98
2010	1	1	1	1	  6.2636E-07	  6.2644E-07	 -1.6125E-06	 -2.6986E-05	  9.9213E-07	  8.7584E-07	  6.5786E-07	  2.8955E-08	  1.0549E-06	 -1.8899E-04	 -5.5497E-10	1.00
2010	1	1	1	2	 -2.6258E-07	 -2.7275E-07	 -4.3930E-07	 -1.0262E-04	 -5.7854E-07	 -4.6920E-07	 -8.4376E-07	 -1.1890E-08	 -1.4526E-06	 -7.3581E-04	 -1.1764E-08	0.98
2010	1	1	1	3	 -7.6591E-08	 -8.2824E-08	  7.3669E-06	 -5.1672E-05	  3.6337E-07	 -3.9389E-07	  8.0204E-07	 -1.1430E-09	 -1.4501E-06	  1.0964E-04	  1.4715E-09	1.00
2010	1	1	1	4	 -6.2030E-07	 -6.3397E-07	 -2.0230E-06	 -7.0381E-05	 -1.3155E-06	 -8.5512E-07	 -1.5171E-06	 -2.9066E-08	 -1.8246E-06	 -2.4748E-04	 -3.7051E-09	1.00
2010	1	1	1	5	 -4.7251E-07	 -4.7207E-07	 -4.7461E-06	 -7.2522E-06	 -1.1287E-06	 -3.6109E-07	 -1.1534E-06	 -2.2458E-08	 -8.9710E-07	  9.0902E-05	  1.1539E-09	0.98
2010	1	1	1	6	 -6.2038E-07	 -6.1806E-07	 -7.0137E-06	 -1.9432E-05	 -1.5259E-06	 -4.2728E-07	 -1.5820E-06	 -2.9459E-08	 -1.2455E-06	 -1.1830E-05	 -7.8464E-10	1.00
2010	1	1	1	7	 -6.3938E-07	 -6.4712E-07	 -4.7487E-06	 -1.4475E-06	 -1.5032E-06	 -7.1934E-07	 -1.7266E-06	 -3.1136E-08	 -8.8391E-07	  5.8939E-05	  8.6433E-10	1.00
2010	1	1	1	8	  1.3056E-05	  1.3599E-05	  3.8018E-05	  1.6935E-02	  2.0593E-05	  3.3120E-06	  8.3135E-06	  3.1568E-07	  2.7875E-04	  4.0256E-02	  4.8573E-07	0.98
2010	1	1	1	9	  3.6521E-04	  3.8115E-04	  9.4379E-04	  5.1109E-01	  5.5545E-04	  7.1573E-05	  1.8762E-04	  8.1409E-06	  8.3583E-03	  1.2626E+00	  1.5679E-05	1.00
2010	1	1	1	10	  7.9801E-04	  8.3039E-04	  2.0051E-03	  1.0696E+00	  1.2216E-03	  1.4573E-04	  3.9660E-04	  1.8417E-05	  1.7694E-02	  2.6094E+00	  3.2839E-05	1.00
2010	1	1	1	11	  1.1091E-03	  1.1499E-03	  2.8919E-03	  1.3946E+00	  1.7311E-03	  2.0485E-04	  5.7151E-04	  2.6953E-05	  2.3344E-02	  3.3255E+00	  4.1813E-05	0.98
2010	1	1	1	12	  1.6320E-03	  1.6897E-03	  4.3490E-03	  2.0306E+00	  2.5595E-03	  3.0412E-04	  8.5964E-04	  4.0031E-05	  3.3994E-02	  4.9353E+00	  6.2914E-05	1.00
