% Station Bergen, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2014	2015	2016	2017	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2017	1	1	1	0	  1.2593E-07	  1.1900E-07	  8.0627E-06	 -1.7257E-05	  7.2969E-07	 -2.3666E-07	  1.0257E-06	  7.4450E-09	 -4.3814E-07	  1.0374E-04	  1.5316E-09	0.00
2017	1	1	1	1	  1.3846E-07	  1.3243E-07	 -2.8342E-06	 -9.8617E-05	  3.0622E-08	  2.7371E-07	 -2.9311E-07	  6.9080E-09	 -7.7096E-07	 -4.4401E-04	 -4.9897E-09	0.00
2017	1	1	1	2	  2.2169E-07	  2.2649E-07	 -6.9289E-06	 -8.1259E-05	 -1.3697E-08	  7.0167E-07	 -3.1886E-07	  1.0554E-08	 -3.6784E-07	 -4.0794E-04	 -4.5940E-09	0.00
2017	1	1	1	3	 -1.2655E-07	 -1.2391E-07	 -8.6626E-06	 -9.4659E-06	 -7.8120E-07	  2.5367E-07	 -1.1482E-06	 -7.2736E-09	  7.2041E-08	 -5.4369E-05	  3.7190E-10	0.00
2017	1	1	1	4	  6.6690E-08	  7.3162E-08	 -6.5033E-06	  5.2481E-07	 -2.4878E-07	  4.9598E-07	 -4.0279E-07	  2.5408E-09	  2.4987E-07	  1.3735E-04	  3.4887E-09	0.00
2017	1	1	1	5	 -4.3808E-08	 -4.1434E-08	  6.0266E-06	 -7.3610E-05	  3.8318E-07	 -2.1027E-07	  8.8284E-07	  8.3201E-10	 -1.6201E-06	 -2.6112E-04	 -5.6286E-09	0.00
2017	1	1	1	6	  4.6267E-07	  4.5771E-07	  5.1492E-06	 -4.3710E-05	  1.1198E-06	  3.0574E-07	  1.0893E-06	  2.2591E-08	  2.2372E-07	 -2.8088E-04	 -3.5581E-09	0.00
2017	1	1	1	7	 -4.8572E-07	 -4.8743E-07	  3.2472E-06	  3.7959E-05	 -6.6615E-07	 -8.2515E-07	 -3.9107E-07	 -2.2640E-08	 -5.7221E-07	  1.2525E-04	 -4.5646E-10	0.00
2017	1	1	1	8	  1.1709E-05	  1.2137E-05	  5.3703E-05	  1.3407E-02	  2.0307E-05	  3.3792E-06	  1.1426E-05	  3.1835E-07	  2.2200E-04	  3.1949E-02	  3.8543E-07	0.00
2017	1	1	1	9	  4.5537E-04	  4.7327E-04	  1.4195E-03	  6.0606E-01	  7.1286E-04	  9.5955E-05	  2.7611E-04	  1.0723E-05	  9.9310E-03	  1.5431E+00	  1.9588E-05	0.00
2017	1	1	1	10	  1.6361E-03	  1.6939E-03	  5.3013E-03	  2.0675E+00	  2.5965E-03	  3.1429E-04	  1.0055E-03	  4.0038E-05	  3.4276E-02	  5.2622E+00	  6.8268E-05	0.00
2017	1	1	1	11	  2.6212E-03	  2.7041E-03	  8.8456E-03	  3.1456E+00	  4.2421E-03	  4.8721E-04	  1.6624E-03	  6.6575E-05	  5.2608E-02	  8.0124E+00	  1.0522E-04	0.00
2017	1	1	1	12	  2.6902E-03	  2.7733E-03	  9.2789E-03	  3.1757E+00	  4.3814E-03	  5.0040E-04	  1.7370E-03	  6.9106E-05	  5.3257E-02	  8.0350E+00	  1.0536E-04	0.00
2017	1	1	1	13	  2.0958E-03	  2.1667E-03	  6.7658E-03	  2.5992E+00	  3.3446E-03	  3.9194E-04	  1.2785E-03	  5.1949E-05	  4.3265E-02	  6.6079E+00	  8.6174E-05	0.00
