% Station Bergen, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:57:02
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 2014	2015	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2020	1	1	1	0	 -4.4892E-07	 -4.5186E-07	 -2.9315E-06	 -1.2821E-05	 -1.0064E-06	 -4.8423E-07	 -1.0768E-06	 -2.1400E-08	 -8.4953E-07	 -4.8559E-05	 -1.2717E-09	1.00
2020	1	1	1	1	 -9.6911E-07	 -9.6937E-07	 -8.8080E-06	 -1.0105E-04	 -2.2606E-06	 -7.9270E-07	 -2.3314E-06	 -4.4885E-08	 -2.8913E-06	 -4.2842E-04	 -7.8457E-09	1.00
2020	1	1	1	2	 -6.1344E-07	 -6.2788E-07	 -2.0678E-06	 -9.9980E-05	 -1.2953E-06	 -8.1895E-07	 -1.4768E-06	 -2.8211E-08	 -2.2647E-06	 -3.0878E-04	 -4.3091E-09	0.98
2020	1	1	1	3	 -4.1811E-07	 -4.0653E-07	 -6.2957E-06	 -1.1190E-04	 -1.0274E-06	 -2.8186E-08	 -8.5966E-07	 -1.7770E-08	 -2.3052E-06	 -5.8295E-04	 -1.0576E-08	1.00
2020	1	1	1	4	  4.0171E-07	  3.9885E-07	  2.1482E-06	  2.2415E-05	  8.1003E-07	  3.4884E-07	  6.6143E-07	  1.8260E-08	  1.1375E-06	  4.0914E-05	  1.6972E-09	1.00
2020	1	1	1	5	  1.3524E-07	  1.2210E-07	 -2.4241E-06	  3.9749E-05	 -7.7875E-08	  1.9398E-09	 -7.4210E-07	  3.5124E-09	  1.5034E-06	 -9.0393E-06	  1.8716E-09	0.98
2020	1	1	1	6	 -3.1154E-07	 -3.2715E-07	 -5.5736E-06	  6.1344E-05	 -1.0911E-06	 -4.6356E-07	 -1.8071E-06	 -1.8215E-08	  1.0628E-06	  1.9563E-04	  4.7927E-09	1.00
2020	1	1	1	7	 -3.4763E-07	 -3.4695E-07	  2.9752E-06	  4.4338E-05	 -4.1205E-07	 -5.8124E-07	 -1.0084E-07	 -1.6042E-08	 -3.2838E-07	  2.5039E-04	  2.0235E-09	1.00
2020	1	1	1	8	  1.0430E-05	  1.0732E-05	  5.4376E-05	  1.0308E-02	  1.8575E-05	  3.0675E-06	  1.0524E-05	  3.0829E-07	  1.7488E-04	  2.3012E-02	  2.7311E-07	0.98
2020	1	1	1	9	  2.6999E-04	  2.7902E-04	  1.1097E-03	  3.0460E-01	  4.4994E-04	  7.2233E-05	  2.1877E-04	  7.2904E-06	  5.0953E-03	  7.2279E-01	  8.9168E-06	1.00
2020	1	1	1	10	  8.2042E-04	  8.4388E-04	  3.6517E-03	  8.4263E-01	  1.3949E-03	  1.9420E-04	  6.8675E-04	  2.3236E-05	  1.4406E-02	  1.9072E+00	  2.3588E-05	1.00
2020	1	1	1	11	  1.7812E-03	  1.8236E-03	  8.5676E-03	  1.6987E+00	  3.1199E-03	  3.9290E-04	  1.5822E-03	  5.2288E-05	  2.9387E-02	  3.8804E+00	  4.9090E-05	0.98
2020	1	1	1	12	  1.0716E-03	  1.0966E-03	  5.1853E-03	  1.0049E+00	  1.8836E-03	  2.3262E-04	  9.4838E-04	  3.1651E-05	  1.7464E-02	  2.2367E+00	  2.7940E-05	1.00
2020	1	1	1	13	  9.1187E-04	  9.3574E-04	  4.3336E-03	  8.7549E-01	  1.5832E-03	  2.1021E-04	  8.0073E-04	  2.6697E-05	  1.5176E-02	  1.8745E+00	  2.2656E-05	0.98
2020	1	1	1	14	  2.8966E-04	  2.9878E-04	  1.2721E-03	  3.0338E-01	  4.8878E-04	  7.5022E-05	  2.4149E-04	  8.1449E-06	  5.1675E-03	  6.6055E-01	  7.8631E-06	1.00
2020	1	1	1	15	  2.9384E-05	  3.0345E-05	  1.3755E-04	  3.1659E-02	  5.0712E-05	  7.8083E-06	  2.6272E-05	  8.2141E-07	  5.3258E-04	  7.0605E-02	  8.3091E-07	1.00
2020	1	1	1	16	 -1.1810E-06	 -1.1998E-06	 -6.1784E-06	  1.3749E-04	 -2.7442E-06	 -1.7223E-06	 -3.4243E-06	 -6.0581E-08	  7.2158E-07	  2.4998E-04	  2.2409E-09	0.98
2020	1	1	1	17	 -1.4286E-07	 -1.3775E-07	  2.4196E-06	  5.4666E-05	 -1.1705E-08	 -1.4591E-07	  4.6195E-07	 -5.8479E-09	 -1.6008E-07	  6.6752E-04	  9.8716E-09	1.00
2020	1	1	1	18	  2.1123E-06	  2.1446E-06	  2.7743E-05	 -5.9790E-05	  5.8807E-06	  2.0504E-06	  7.6062E-06	  1.0742E-07	  9.4285E-07	 -3.1148E-04	 -7.7053E-09	1.00
