% Station Finse, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:15:26
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 2011	2012	2013	2014	2015	2016	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 2017	2018	2019	2020	2021	2022	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2007	1	1	1	0	  1.8040E-06	  1.9705E-06	  1.2469E-05	 -1.4362E-04	  5.0002E-06	  5.1984E-06	  8.2155E-06	  9.6841E-08	  2.9328E-06	 -3.4732E-05	  4.8145E-09	1.00
2007	1	1	1	1	  9.7772E-06	  9.5503E-06	  3.8641E-05	  5.1447E-07	  1.9690E-05	  2.5138E-05	  2.8338E-05	  6.2901E-07	  1.1168E-05	 -2.2087E-04	 -3.5840E-09	1.00
2007	1	1	1	2	 -1.2031E-05	 -1.1736E-05	 -5.0164E-05	 -5.3039E-05	 -2.4251E-05	 -3.0422E-05	 -3.4728E-05	 -7.7611E-07	 -1.3936E-05	 -2.4639E-04	 -2.2619E-09	0.98
2007	1	1	1	3	 -4.3959E-07	 -4.1687E-07	 -2.8196E-06	 -2.6907E-05	 -8.5105E-07	 -8.1481E-07	 -1.0550E-06	 -2.9322E-08	 -6.6401E-07	 -7.2897E-05	 -3.8557E-10	1.00
2007	1	1	1	4	  2.7348E-07	  2.7396E-07	 -1.7489E-07	 -7.1991E-05	  5.7217E-07	  1.0920E-06	  1.0232E-06	  1.7985E-08	 -5.5508E-07	 -2.7442E-04	 -3.2603E-09	1.00
2007	1	1	1	5	  6.3086E-06	  6.1517E-06	  2.3207E-05	  3.8646E-06	  1.2591E-05	  1.6545E-05	  1.8250E-05	  4.0729E-07	  7.0007E-06	  3.3865E-05	  4.1806E-10	0.98
2007	1	1	1	6	  1.3267E-06	  1.3120E-06	  3.0170E-06	 -3.6988E-05	  2.6868E-06	  3.9951E-06	  4.1653E-06	  8.4100E-08	  1.2534E-06	 -9.4958E-05	 -3.7763E-10	1.00
2007	1	1	1	7	 -6.5312E-06	 -6.3517E-06	 -2.8159E-05	  3.0418E-06	 -1.3107E-05	 -1.6207E-05	 -1.8559E-05	 -4.2365E-07	 -6.9456E-06	  2.0728E-04	  4.4306E-09	1.00
2007	1	1	1	8	  3.7018E-05	  4.0481E-05	  1.4090E-04	  6.2193E-02	  5.6988E-05	 -3.0620E-05	 -9.4169E-06	  4.1113E-07	  1.0521E-03	  1.3301E-01	  1.6796E-06	0.98
2007	1	1	1	9	  8.6060E-04	  9.1204E-04	  2.6949E-03	  1.0891E+00	  1.3792E-03	  1.9588E-04	  5.0930E-04	  2.2941E-05	  1.8501E-02	  2.4396E+00	  3.1066E-05	1.00
2007	1	1	1	10	  2.4912E-03	  2.6066E-03	  7.2213E-03	  2.9961E+00	  3.9641E-03	  6.0682E-04	  1.4643E-03	  6.9311E-05	  5.0864E-02	  6.5928E+00	  8.3427E-05	1.00
2007	1	1	1	11	  3.9198E-03	  4.0580E-03	  1.2721E-02	  4.3345E+00	  6.4016E-03	  9.2342E-04	  2.5930E-03	  1.1260E-04	  7.3948E-02	  9.3520E+00	  1.1766E-04	0.98
2007	1	1	1	12	  4.0926E-03	  4.2271E-03	  1.4202E-02	  4.3225E+00	  6.7785E-03	  1.0111E-03	  2.9296E-03	  1.2134E-04	  7.4272E-02	  8.8899E+00	  1.1045E-04	1.00
2007	1	1	1	13	  2.8798E-03	  2.9964E-03	  9.4624E-03	  3.2894E+00	  4.6655E-03	  7.7719E-04	  1.9929E-03	  8.5112E-05	  5.5882E-02	  7.2798E+00	  9.1978E-05	0.98
2007	1	1	1	14	  1.1240E-03	  1.1824E-03	  3.7500E-03	  1.3219E+00	  1.8267E-03	  3.9061E-04	  8.1498E-04	  3.3308E-05	  2.2550E-02	  2.9036E+00	  3.6744E-05	1.00
2007	1	1	1	15	  9.1895E-05	  9.7793E-05	  3.7950E-04	  1.1611E-01	  1.5380E-04	  6.5704E-07	  5.2862E-05	  2.2722E-06	  1.9816E-03	  2.5792E-01	  3.2764E-06	1.00
2007	1	1	1	16	  5.2138E-06	  5.1259E-06	  2.4777E-05	  3.2637E-04	  1.0645E-05	  1.2135E-05	  1.4713E-05	  3.2518E-07	  1.1151E-05	  8.3292E-04	  1.0264E-08	0.98
2007	1	1	1	17	 -1.1640E-05	 -1.1393E-05	 -4.5787E-05	 -4.5232E-05	 -2.3531E-05	 -3.0049E-05	 -3.3980E-05	 -7.4558E-07	 -1.4230E-05	  1.2830E-07	 -5.6016E-11	1.00
2007	1	1	1	18	 -8.9696E-06	 -8.7619E-06	 -3.4294E-05	 -3.0689E-05	 -1.7996E-05	 -2.3179E-05	 -2.5903E-05	 -5.7596E-07	 -1.0777E-05	  1.9533E-04	  3.1762E-09	1.00
