% Station Finse, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2011	2012	2013	2014	2015	2016	2017	
% Octa-based data (http://eklima.met.no) period: 1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1996	- 2010
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% Seasonally mean period: 2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2010	1	1	1	0	  6.8545E-06	  6.7524E-06	  2.7201E-05	 -3.1777E-05	  1.4136E-05	  1.8122E-05	  2.0814E-05	  4.3622E-07	  8.0038E-06	  1.3574E-04	  3.6099E-09	0.98
2010	1	1	1	1	 -3.8632E-06	 -3.7334E-06	 -1.4256E-05	  1.3677E-05	 -7.5337E-06	 -9.8580E-06	 -1.0659E-05	 -2.5276E-07	 -3.7261E-06	  3.2734E-04	  5.8222E-09	1.00
2010	1	1	1	2	  6.3092E-06	  6.2330E-06	  2.3687E-05	 -7.7647E-05	  1.3074E-05	  1.7119E-05	  1.9497E-05	  4.0031E-07	  6.9770E-06	 -1.1783E-05	  2.2961E-09	0.98
2010	1	1	1	3	  4.2254E-06	  4.2353E-06	  1.3752E-05	 -1.8852E-04	  9.0646E-06	  1.2509E-05	  1.4199E-05	  2.6409E-07	  3.6075E-06	 -2.5079E-04	  7.8771E-10	1.00
2010	1	1	1	4	  6.9264E-06	  6.8559E-06	  2.4436E-05	 -2.2853E-04	  1.4447E-05	  1.9494E-05	  2.1967E-05	  4.4112E-07	  5.7377E-06	 -3.1423E-04	 -3.8730E-10	1.00
2010	1	1	1	5	  2.0690E-05	  2.0262E-05	  8.1137E-05	 -1.3476E-04	  4.2028E-05	  5.4189E-05	  6.1304E-05	  1.3303E-06	  2.1931E-05	 -7.3444E-05	  9.0804E-10	0.98
2010	1	1	1	6	  8.9144E-06	  8.7548E-06	  3.3148E-05	 -8.5645E-05	  1.8172E-05	  2.3839E-05	  2.6763E-05	  5.7042E-07	  9.5339E-06	 -1.6863E-04	 -5.2624E-10	1.00
2010	1	1	1	7	 -5.8369E-06	 -5.6177E-06	 -2.4802E-05	 -1.7680E-05	 -1.1391E-05	 -1.4197E-05	 -1.5825E-05	 -3.8491E-07	 -5.5761E-06	  1.5487E-04	  5.0768E-09	1.00
2010	1	1	1	8	  4.8265E-05	  5.2139E-05	  1.5275E-04	  6.8182E-02	  7.8307E-05	 -4.1676E-06	  1.8239E-05	  9.2904E-07	  1.1627E-03	  1.5152E-01	  1.9411E-06	0.98
2010	1	1	1	9	  8.6557E-04	  9.2327E-04	  2.4234E-03	  1.1309E+00	  1.3851E-03	  1.9862E-04	  4.9565E-04	  2.1442E-05	  1.9232E-02	  2.5501E+00	  3.2657E-05	1.00
2010	1	1	1	10	  2.5825E-03	  2.7156E-03	  7.2744E-03	  3.1811E+00	  4.1261E-03	  5.8294E-04	  1.4984E-03	  6.8600E-05	  5.4052E-02	  7.0475E+00	  8.9583E-05	1.00
2010	1	1	1	11	  3.9476E-03	  4.1086E-03	  1.1729E-02	  4.5858E+00	  6.3887E-03	  8.4544E-04	  2.3710E-03	  1.0686E-04	  7.8047E-02	  1.0109E+01	  1.2828E-04	0.98
2010	1	1	1	12	  4.0861E-03	  4.2484E-03	  1.2295E-02	  4.7059E+00	  6.6271E-03	  8.8638E-04	  2.4945E-03	  1.1139E-04	  8.0123E-02	  1.0356E+01	  1.3134E-04	1.00
