% Station Finse, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 14:03:31
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 2011	2012	2013	2014	2015	2016	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2018	1	1	1	0	 -9.3492E-06	 -9.1252E-06	 -3.5786E-05	  3.2388E-05	 -1.8776E-05	 -2.4357E-05	 -2.7189E-05	 -6.0338E-07	 -9.9822E-06	  1.3105E-04	  1.9126E-09	1.00
2018	1	1	1	1	 -4.5561E-06	 -4.6127E-06	 -1.8061E-05	  2.7620E-04	 -1.0159E-05	 -1.3166E-05	 -1.5861E-05	 -2.8054E-07	 -3.7097E-06	  7.5713E-04	  5.4941E-09	1.00
2018	1	1	1	2	 -9.3091E-06	 -9.2032E-06	 -3.6765E-05	  2.0067E-04	 -1.9426E-05	 -2.5000E-05	 -2.8863E-05	 -5.9095E-07	 -9.3512E-06	  5.9735E-04	  5.0237E-09	0.98
2018	1	1	1	3	 -8.7474E-09	 -1.3814E-07	 -5.8958E-07	  2.4596E-04	 -8.1773E-07	 -1.0067E-06	 -2.0394E-06	  9.8433E-09	  1.3290E-06	  9.1378E-04	  8.9584E-09	1.00
2018	1	1	1	4	  1.2310E-05	  1.1951E-05	  4.9297E-05	  1.7462E-04	  2.4361E-05	  3.0892E-05	  3.4503E-05	  7.9765E-07	  1.5211E-05	  4.5743E-04	  3.4498E-09	1.00
2018	1	1	1	5	  6.0247E-06	  5.8533E-06	  2.3155E-05	  1.9923E-05	  1.1947E-05	  1.5475E-05	  1.7124E-05	  3.9127E-07	  6.5502E-06	  7.9470E-05	  2.6488E-10	0.98
2018	1	1	1	6	 -1.3838E-05	 -1.3528E-05	 -5.8514E-05	 -7.5120E-05	 -2.8054E-05	 -3.4909E-05	 -4.0187E-05	 -8.8880E-07	 -1.6772E-05	 -2.0367E-04	 -1.8505E-09	1.00
2018	1	1	1	7	 -5.0432E-06	 -4.8856E-06	 -2.2487E-05	  2.0265E-05	 -1.0070E-05	 -1.2344E-05	 -1.4169E-05	 -3.3000E-07	 -4.7355E-06	  1.5326E-04	  3.8030E-09	1.00
2018	1	1	1	8	  3.6199E-05	  4.0304E-05	  9.7055E-05	  6.9310E-02	  5.3676E-05	 -3.0445E-05	 -1.2862E-05	  1.7608E-07	  1.1545E-03	  1.6899E-01	  2.2007E-06	0.98
2018	1	1	1	9	  8.0353E-04	  8.6033E-04	  1.9029E-03	  1.0923E+00	  1.2612E-03	  1.4740E-04	  3.6769E-04	  1.8345E-05	  1.8566E-02	  2.4412E+00	  3.1268E-05	1.00
2018	1	1	1	10	  2.5057E-03	  2.6284E-03	  6.2694E-03	  3.0716E+00	  3.9344E-03	  5.7793E-04	  1.2662E-03	  6.6645E-05	  5.2325E-02	  6.5343E+00	  8.2332E-05	1.00
2018	1	1	1	11	  4.0614E-03	  4.2216E-03	  1.0701E-02	  4.8811E+00	  6.4075E-03	  8.4542E-04	  2.0861E-03	  1.0783E-04	  8.2461E-02	  1.1099E+01	  1.4166E-04	0.97
2018	1	1	1	12	  4.0566E-03	  4.2188E-03	  1.0491E-02	  4.8369E+00	  6.4143E-03	  8.3769E-04	  2.0536E-03	  1.0691E-04	  8.2060E-02	  1.0686E+01	  1.3572E-04	1.00
2018	1	1	1	13	  2.4531E-03	  2.5905E-03	  5.0263E-03	  3.1619E+00	  3.8058E-03	  4.4941E-04	  9.6497E-04	  5.8565E-05	  5.3939E-02	  6.6651E+00	  8.4239E-05	0.97
2018	1	1	1	14	  1.0265E-03	  1.1018E-03	  2.2385E-03	  1.4107E+00	  1.6037E-03	  1.4686E-04	  4.0957E-04	  2.2337E-05	  2.4070E-02	  3.0523E+00	  3.8918E-05	0.98
2018	1	1	1	15	  8.7382E-05	  9.6319E-05	  2.9670E-04	  1.4115E-01	  1.4190E-04	 -3.8597E-05	  1.4101E-05	  1.0804E-06	  2.3943E-03	  3.2489E-01	  4.2008E-06	1.00
2018	1	1	1	16	  6.4553E-07	  6.9690E-07	  2.5051E-06	  2.8323E-04	  1.4661E-06	  1.4175E-06	  2.0030E-06	  2.7766E-08	  5.9364E-06	  8.0309E-04	  1.1850E-08	0.97
2018	1	1	1	17	  1.5431E-05	  1.5085E-05	  5.9923E-05	 -9.4423E-05	  3.1188E-05	  4.0382E-05	  4.5406E-05	  9.9505E-07	  1.6023E-05	 -2.5356E-05	  5.2751E-10	0.98
2018	1	1	1	18	  7.0844E-06	  6.8999E-06	  2.5256E-05	 -8.2752E-05	  1.4131E-05	  1.8964E-05	  2.0724E-05	  4.6081E-07	  6.3036E-06	  2.0825E-05	  8.0215E-10	1.00
