% Station Kise, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:10:16
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1997	1	1	1	0	  1.9967E-05	  2.0255E-05	  1.1834E-04	 -1.6153E-03	  5.2866E-05	  5.1416E-05	  6.0126E-05	  9.2337E-07	 -1.5179E-05	  1.1905E-02	  2.3385E-07	0.98
1997	1	1	1	1	 -8.0931E-07	 -8.0594E-07	 -4.8355E-06	 -1.4671E-04	 -1.8781E-06	 -1.1099E-06	 -1.3538E-06	 -2.7898E-08	 -3.8443E-06	 -1.0677E-03	 -1.8613E-08	1.00
1997	1	1	1	2	  1.8922E-06	  1.9197E-06	  1.2302E-05	 -5.1192E-05	  4.8417E-06	  4.2241E-06	  5.3312E-06	  8.8677E-08	  6.7146E-07	 -2.8706E-04	 -5.7795E-09	0.98
1997	1	1	1	3	 -3.8350E-07	 -3.7472E-07	 -1.9561E-06	 -2.7839E-04	 -7.2322E-07	  6.4355E-08	  8.3450E-08	 -4.9543E-09	 -5.5666E-06	 -1.7059E-03	 -2.9045E-08	1.00
1997	1	1	1	4	 -1.7990E-07	 -1.7709E-07	  2.0035E-06	 -6.4778E-05	 -1.3472E-07	 -3.9274E-07	  1.1578E-07	 -3.8015E-09	 -2.1814E-06	  2.3112E-04	  5.1714E-09	1.00
1997	1	1	1	5	  4.7292E-06	  4.7660E-06	  2.9186E-05	 -1.7874E-04	  1.1838E-05	  9.9955E-06	  1.2172E-05	  2.1134E-07	  2.9515E-06	 -4.9031E-04	 -7.5635E-09	0.98
1997	1	1	1	6	  7.3848E-06	  7.4189E-06	  3.6503E-05	 -6.5259E-05	  1.7580E-05	  1.5469E-05	  1.7001E-05	  3.1233E-07	  1.1063E-05	 -3.1409E-04	 -5.2473E-09	1.00
1997	1	1	1	7	  6.8675E-06	  6.9285E-06	  3.5586E-05	  4.5918E-04	  1.6282E-05	  1.3741E-05	  1.5775E-05	  2.8874E-07	  1.6836E-05	  1.0543E-03	  1.1746E-08	1.00
1997	1	1	1	8	  8.9040E-05	  9.4202E-05	  3.2843E-04	  1.3002E-01	  1.4498E-04	  1.4298E-05	  6.4935E-05	  2.1628E-06	  2.0194E-03	  3.5442E-01	  4.6197E-06	0.98
1997	1	1	1	9	  9.0808E-04	  9.5505E-04	  2.7188E-03	  1.2456E+00	  1.4391E-03	  1.9209E-04	  5.4581E-04	  2.1134E-05	  1.9855E-02	  3.2467E+00	  4.2050E-05	1.00
1997	1	1	1	10	  2.2720E-03	  2.3605E-03	  6.9338E-03	  2.8381E+00	  3.6578E-03	  4.6550E-04	  1.3475E-03	  5.5228E-05	  4.6907E-02	  7.2392E+00	  9.4617E-05	1.00
1997	1	1	1	11	  3.1658E-03	  3.2717E-03	  1.0359E-02	  3.7870E+00	  5.1745E-03	  6.1964E-04	  1.9684E-03	  7.9685E-05	  6.3502E-02	  9.6835E+00	  1.2778E-04	0.98
1997	1	1	1	12	  2.9473E-03	  3.0469E-03	  9.6326E-03	  3.5214E+00	  4.8164E-03	  5.8447E-04	  1.8246E-03	  7.3957E-05	  5.9023E-02	  8.9593E+00	  1.1784E-04	1.00
1997	1	1	1	13	  1.6419E-03	  1.7102E-03	  4.7931E-03	  2.0969E+00	  2.6254E-03	  3.4761E-04	  9.2781E-04	  3.8709E-05	  3.4384E-02	  5.4723E+00	  7.2016E-05	0.98
1997	1	1	1	14	  4.7885E-04	  5.0544E-04	  1.4597E-03	  6.8240E-01	  7.5049E-04	  8.2995E-05	  2.8492E-04	  1.1146E-05	  1.0773E-02	  1.7572E+00	  2.2486E-05	1.00
1997	1	1	1	15	  2.6898E-05	  2.8182E-05	  1.1036E-04	  3.2662E-02	  4.7019E-05	  1.0939E-05	  2.5429E-05	  7.3143E-07	  5.1689E-04	  8.6358E-02	  1.1125E-06	1.00
1997	1	1	1	16	 -1.7403E-06	 -1.7585E-06	 -1.1338E-05	  3.7354E-06	 -4.4214E-06	 -3.6517E-06	 -4.5930E-06	 -7.7508E-08	 -1.5885E-06	 -3.9099E-04	 -6.8823E-09	0.98
1997	1	1	1	17	  1.6039E-06	  1.6041E-06	  1.3322E-05	  4.9773E-05	  4.0480E-06	  2.3273E-06	  3.6023E-06	  6.7581E-08	  3.1093E-06	  7.1063E-05	  1.4229E-09	1.00
1997	1	1	1	18	 -5.7625E-06	 -5.7870E-06	 -3.2845E-05	  8.4839E-05	 -1.3969E-05	 -1.1515E-05	 -1.3509E-05	 -2.4705E-07	 -7.6449E-06	  6.2939E-04	  1.0463E-08	1.00
