% Station Kise, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:56:24
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2007	1	1	1	0	 -4.7901E-06	 -4.8132E-06	 -2.6829E-05	 -7.7294E-05	 -1.1494E-05	 -9.3421E-06	 -1.0949E-05	 -2.0255E-07	 -8.7054E-06	  1.2920E-04	  3.4666E-09	1.00
2007	1	1	1	1	 -2.1536E-07	 -2.1726E-07	 -3.6408E-06	 -3.0060E-05	 -6.3186E-07	 -4.5621E-08	 -5.8841E-07	 -1.0675E-08	 -4.9109E-07	  1.6801E-04	  3.4653E-09	1.00
2007	1	1	1	2	 -1.5636E-06	 -1.5557E-06	 -7.2452E-06	 -2.9311E-05	 -3.5152E-06	 -2.7286E-06	 -2.8471E-06	 -6.0699E-08	 -4.2039E-06	  2.8807E-04	  4.9263E-09	0.98
2007	1	1	1	3	 -5.2699E-06	 -5.2710E-06	 -2.0225E-05	 -2.8940E-04	 -1.1852E-05	 -1.0372E-05	 -1.0172E-05	 -2.0286E-07	 -1.5496E-05	 -1.5849E-03	 -2.6915E-08	1.00
2007	1	1	1	4	  5.6389E-06	  5.6933E-06	  5.0840E-05	  1.9317E-04	  1.4850E-05	  9.1961E-06	  1.4903E-05	  2.5658E-07	  7.3085E-06	  1.3125E-04	 -6.2567E-10	1.00
2007	1	1	1	5	  5.7598E-06	  5.8214E-06	  5.0579E-05	  3.4030E-04	  1.5067E-05	  9.4501E-06	  1.5078E-05	  2.5915E-07	  9.5023E-06	  9.5225E-04	  1.2371E-08	0.98
2007	1	1	1	6	  1.5035E-06	  1.5384E-06	  2.5813E-05	  4.1768E-04	  4.6819E-06	  7.7977E-07	  4.7494E-06	  7.2690E-08	  4.5793E-06	  1.8581E-03	  2.8717E-08	1.00
2007	1	1	1	7	 -3.3225E-06	 -3.3323E-06	 -1.7872E-05	 -1.2656E-05	 -8.0408E-06	 -6.7054E-06	 -7.5695E-06	 -1.3684E-07	 -5.3805E-06	 -1.1537E-03	 -2.1885E-08	1.00
2007	1	1	1	8	  3.6511E-05	  3.8284E-05	  1.2385E-04	  4.9064E-02	  5.8105E-05	  5.6443E-06	  2.1525E-05	  8.9162E-07	  7.8535E-04	  1.2108E-01	  1.5161E-06	0.98
2007	1	1	1	9	  3.8238E-04	  3.9889E-04	  1.1845E-03	  4.7117E-01	  6.1650E-04	  1.0324E-04	  2.2982E-04	  9.2855E-06	  7.6979E-03	  1.1456E+00	  1.4415E-05	1.00
2007	1	1	1	10	  9.6293E-04	  9.9691E-04	  3.0353E-03	  1.1353E+00	  1.5647E-03	  2.1427E-04	  5.8046E-04	  2.3995E-05	  1.9025E-02	  2.7515E+00	  3.5159E-05	1.00
2007	1	1	1	11	  8.2432E-04	  8.4807E-04	  2.8079E-03	  8.9905E-01	  1.3557E-03	  1.7620E-04	  5.3326E-04	  2.1942E-05	  1.5457E-02	  1.9485E+00	  2.3602E-05	0.98
2007	1	1	1	12	  1.5160E-03	  1.5616E-03	  5.0320E-03	  1.6849E+00	  2.4905E-03	  3.3232E-04	  9.6309E-04	  3.9511E-05	  2.8786E-02	  3.8584E+00	  4.8186E-05	1.00
2007	1	1	1	13	  1.2141E-03	  1.2597E-03	  3.8189E-03	  1.4512E+00	  1.9778E-03	  2.8783E-04	  7.3071E-04	  2.9622E-05	  2.4109E-02	  3.6362E+00	  4.7058E-05	0.98
2007	1	1	1	14	  3.7407E-04	  3.9136E-04	  1.2047E-03	  4.7726E-01	  6.0517E-04	  9.6632E-05	  2.2995E-04	  8.9937E-06	  7.6975E-03	  1.2128E+00	  1.5510E-05	1.00
2007	1	1	1	15	  2.1133E-05	  2.1892E-05	  8.4000E-05	  2.2353E-02	  3.6908E-05	  9.1124E-06	  1.7681E-05	  5.7834E-07	  3.6898E-04	  5.4494E-02	  6.8272E-07	1.00
2007	1	1	1	16	 -3.1505E-06	 -3.1753E-06	 -2.0024E-05	 -1.3366E-04	 -7.7550E-06	 -5.9915E-06	 -7.5647E-06	 -1.3514E-07	 -5.9971E-06	 -5.2912E-04	 -7.7101E-09	0.98
2007	1	1	1	17	 -1.9507E-06	 -1.9779E-06	 -1.5739E-05	 -3.4825E-05	 -5.1154E-06	 -3.7431E-06	 -5.4441E-06	 -9.0828E-08	 -1.7252E-06	 -2.4734E-05	  8.2806E-10	1.00
2007	1	1	1	18	  1.2288E-06	  1.2212E-06	  2.6341E-06	 -1.3350E-04	  2.6740E-06	  2.8595E-06	  2.3616E-06	  4.8989E-08	  1.2741E-06	 -6.8608E-04	 -1.0532E-08	1.00
