% Station Kise, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2010	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2011	2012	2013	2014	2015	2016	2017	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2012	1	1	1	0	  1.0401E-06	  1.0820E-06	  7.5134E-06	 -8.9380E-05	  2.9625E-06	  3.1852E-06	  4.1605E-06	  5.8744E-08	 -2.4837E-06	 -2.1971E-04	 -5.1766E-09	0.98
2012	1	1	1	1	  7.7988E-07	  8.0232E-07	  9.8761E-06	 -6.1347E-05	  2.3823E-06	  1.5445E-06	  2.9961E-06	  4.4326E-08	 -1.7361E-06	 -4.6771E-04	 -8.8230E-09	1.00
2012	1	1	1	2	  1.5010E-06	  1.5108E-06	  2.9356E-06	 -8.9300E-05	  3.3736E-06	  3.9640E-06	  3.4633E-06	  6.3276E-08	  1.4863E-06	 -2.6078E-04	 -4.2187E-09	0.98
2012	1	1	1	3	 -1.2101E-06	 -1.2143E-06	 -1.3778E-05	 -1.5599E-04	 -3.1975E-06	 -1.0748E-06	 -2.7858E-06	 -5.2375E-08	 -3.6033E-06	 -5.7780E-05	  4.5241E-10	1.00
2012	1	1	1	4	 -2.3894E-07	 -2.3491E-07	 -9.9924E-06	 -2.3275E-04	 -9.3070E-07	  1.2634E-06	 -3.8040E-07	 -8.1862E-09	 -3.1402E-06	 -9.1162E-04	 -1.4920E-08	1.00
2012	1	1	1	5	 -2.7337E-06	 -2.7515E-06	 -2.3004E-05	 -2.0426E-04	 -6.9872E-06	 -4.1879E-06	 -6.5688E-06	 -1.1757E-07	 -6.0404E-06	 -7.2349E-04	 -1.1077E-08	0.98
2012	1	1	1	6	 -1.1622E-06	 -1.1743E-06	 -1.5331E-05	 -2.1318E-04	 -3.2531E-06	 -9.1979E-07	 -3.0119E-06	 -5.2015E-08	 -3.5426E-06	 -6.2801E-04	 -9.1110E-09	1.00
2012	1	1	1	7	  5.4853E-07	  5.5843E-07	 -2.0124E-07	 -8.9568E-06	  1.1075E-06	  1.6046E-06	  1.2769E-06	  2.5049E-08	  1.0109E-06	 -8.2809E-04	 -1.6132E-08	1.00
2012	1	1	1	8	  2.9649E-05	  3.0648E-05	  1.4549E-04	  2.8773E-02	  5.4330E-05	  1.3016E-05	  2.9614E-05	  8.7768E-07	  4.7673E-04	  6.3484E-02	  7.5423E-07	0.98
2012	1	1	1	9	  2.2714E-04	  2.3455E-04	  8.9141E-04	  2.3064E-01	  3.9118E-04	  8.5537E-05	  1.7192E-04	  6.1002E-06	  3.8955E-03	  4.9562E-01	  5.8709E-06	1.00
2012	1	1	1	10	  7.2906E-04	  7.4704E-04	  2.9378E-03	  7.0660E-01	  1.2597E-03	  1.9374E-04	  5.3945E-04	  1.9799E-05	  1.2337E-02	  1.5355E+00	  1.8739E-05	1.00
2012	1	1	1	11	  1.2703E-03	  1.2965E-03	  5.5922E-03	  1.1605E+00	  2.2469E-03	  3.1875E-04	  1.0274E-03	  3.5708E-05	  2.0584E-02	  2.5505E+00	  3.1646E-05	0.98
2012	1	1	1	12	  1.3487E-03	  1.3774E-03	  5.8422E-03	  1.2393E+00	  2.3756E-03	  3.4749E-04	  1.0784E-03	  3.7775E-05	  2.1943E-02	  2.6745E+00	  3.2762E-05	1.00
