% Station Kise, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2010	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2011	2012	2013	2014	2015	2016	2017	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2015	1	1	1	0	 -3.6041E-06	 -3.6171E-06	 -2.1085E-05	 -5.5368E-05	 -8.7179E-06	 -6.8708E-06	 -8.1871E-06	 -1.5087E-07	 -6.4811E-06	 -3.6817E-04	 -6.5268E-09	0.98
2015	1	1	1	1	 -8.1769E-08	 -1.1453E-07	 -1.0683E-05	 -1.4126E-04	 -9.9799E-07	  4.3360E-07	 -1.7737E-06	 -1.6197E-08	  1.2332E-06	 -6.8830E-04	 -9.6498E-09	1.00
2015	1	1	1	2	 -8.2111E-08	 -1.0255E-07	 -6.5677E-06	 -9.6656E-05	 -6.5026E-07	  2.3946E-07	 -1.1071E-06	 -1.1414E-08	  4.4388E-07	 -2.0890E-04	 -1.7487E-09	0.98
2015	1	1	1	3	  2.5743E-07	  2.3791E-07	 -6.3875E-06	 -2.3185E-04	  1.0088E-07	  1.3502E-06	 -1.9553E-07	  5.8052E-09	 -7.6453E-07	 -1.1716E-03	 -1.8121E-08	1.00
2015	1	1	1	4	 -2.2348E-06	 -2.2636E-06	 -2.3315E-05	 -1.3444E-04	 -6.1206E-06	 -3.3727E-06	 -6.2778E-06	 -1.0411E-07	 -2.8192E-06	 -4.9830E-04	 -7.1176E-09	1.00
2015	1	1	1	5	 -2.4028E-06	 -2.4431E-06	 -2.1080E-05	 -1.6925E-04	 -6.4207E-06	 -4.3836E-06	 -6.8389E-06	 -1.1119E-07	 -3.3254E-06	 -9.6446E-04	 -1.4541E-08	0.98
2015	1	1	1	6	  1.3415E-06	  1.3317E-06	  6.6681E-06	 -7.7204E-05	  3.1057E-06	  2.4680E-06	  2.6141E-06	  5.3620E-08	  1.9964E-06	 -4.2823E-04	 -6.0457E-09	1.00
2015	1	1	1	7	  1.7854E-06	  1.8425E-06	  2.1973E-05	  4.0135E-04	  5.0999E-06	  2.4961E-06	  5.7791E-06	  8.9717E-08	  4.6046E-06	  8.1863E-04	  7.7139E-09	1.00
2015	1	1	1	8	  9.1434E-05	  9.5624E-05	  3.7657E-04	  1.1197E-01	  1.5787E-04	  2.9408E-05	  7.7457E-05	  2.4115E-06	  1.7837E-03	  2.9569E-01	  3.8206E-06	0.98
2015	1	1	1	9	  9.4223E-04	  9.8368E-04	  2.9466E-03	  1.1706E+00	  1.5335E-03	  2.6975E-04	  5.9013E-04	  2.2650E-05	  1.9027E-02	  2.9927E+00	  3.8589E-05	1.00
2015	1	1	1	10	  2.3739E-03	  2.4519E-03	  7.3371E-03	  2.7135E+00	  3.8892E-03	  5.8095E-04	  1.4304E-03	  5.8855E-05	  4.5811E-02	  6.7947E+00	  8.8517E-05	1.00
2015	1	1	1	11	  3.0902E-03	  3.1727E-03	  1.0629E-02	  3.2752E+00	  5.1508E-03	  7.0967E-04	  2.0206E-03	  8.1359E-05	  5.6619E-02	  7.6159E+00	  9.6461E-05	0.98
2015	1	1	1	12	  2.9593E-03	  3.0474E-03	  9.5155E-03	  3.3332E+00	  4.8814E-03	  6.6466E-04	  1.8203E-03	  7.4592E-05	  5.6731E-02	  8.5063E+00	  1.1255E-04	1.00
2015	1	1	1	13	  1.8212E-03	  1.8852E-03	  5.7284E-03	  2.0753E+00	  2.9687E-03	  4.6930E-04	  1.1308E-03	  4.6094E-05	  3.4915E-02	  4.7480E+00	  5.8651E-05	0.98
2015	1	1	1	14	  5.2214E-04	  5.4841E-04	  1.7214E-03	  6.8867E-01	  8.4571E-04	  1.3518E-04	  3.5017E-04	  1.2734E-05	  1.0980E-02	  1.7477E+00	  2.2243E-05	1.00
2015	1	1	1	15	  3.2961E-05	  3.4269E-05	  1.5927E-04	  3.4915E-02	  6.0709E-05	  1.5128E-05	  3.4614E-05	  9.4848E-07	  5.6236E-04	  9.0401E-02	  1.1598E-06	1.00
2015	1	1	1	16	  2.0778E-06	  2.1122E-06	  2.1537E-05	  8.8807E-06	  5.8130E-06	  3.6503E-06	  6.3896E-06	  1.0198E-07	  2.7086E-07	  2.4536E-05	 -5.8911E-10	0.98
2015	1	1	1	17	 -7.6911E-07	 -7.3335E-07	  9.5801E-06	  5.0333E-05	 -7.1036E-07	 -2.1427E-06	  5.1528E-07	 -1.3460E-08	 -5.0532E-06	  4.7166E-04	  6.5679E-09	1.00
2015	1	1	1	18	  1.7063E-06	  1.7571E-06	  2.6091E-05	 -1.1910E-05	  5.4622E-06	  2.6605E-06	  6.6705E-06	  9.6669E-08	 -2.7392E-06	 -1.7453E-04	 -4.7913E-09	1.00
2015	1	1	1	19	 -1.1215E-06	 -1.0922E-06	  1.2433E-06	  8.3366E-05	 -2.0797E-06	 -2.4006E-06	 -1.0497E-06	 -3.3583E-08	 -3.5425E-06	 -1.0488E-04	 -4.8230E-09	0.98
2015	1	1	1	20	  6.8583E-07	  7.1521E-07	  1.4234E-05	  8.4303E-06	  2.4742E-06	  8.2643E-07	  3.2173E-06	  4.3860E-08	 -1.9774E-06	 -1.4255E-04	 -3.7990E-09	1.00
2015	1	1	1	21	  1.6918E-06	  1.7087E-06	  1.6450E-05	  1.6056E-04	  4.4930E-06	  2.4329E-06	  4.3667E-06	  7.5002E-08	  3.5467E-06	  6.7089E-04	  1.0359E-08	1.00
2015	1	1	1	22	 -1.4547E-07	 -1.4812E-07	  3.0060E-06	  2.1738E-04	 -2.2037E-07	 -1.2413E-06	 -6.1074E-07	 -1.0554E-08	  2.6733E-06	  1.3074E-03	  2.2062E-08	0.98
