% Station Landvik, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2010	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2011	2012	2013	2014	2015	2016	2017	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2004	1	1	1	0	 -3.3882E-07	 -3.8964E-07	  6.9009E-06	 -2.2354E-04	 -2.7301E-07	 -1.0885E-06	 -1.7961E-07	 -1.3369E-08	 -3.8216E-06	 -1.3839E-03	 -2.4048E-08	0.98
2004	1	1	1	1	 -3.7634E-06	 -3.8389E-06	 -2.4901E-05	 -1.0953E-04	 -8.7148E-06	 -5.2460E-06	 -1.0615E-05	 -1.8023E-07	 -6.0513E-06	 -6.4441E-04	 -1.1207E-08	1.00
2004	1	1	1	2	 -1.1498E-06	 -1.1547E-06	 -1.2002E-05	 -9.0483E-05	 -2.8039E-06	 -1.0850E-06	 -3.1591E-06	 -5.3403E-08	 -2.8093E-06	 -3.9418E-04	 -6.7604E-09	0.98
2004	1	1	1	3	 -2.1922E-06	 -2.2325E-06	 -1.5354E-05	 -1.2863E-04	 -5.0414E-06	 -2.8196E-06	 -5.9183E-06	 -1.0319E-07	 -4.7750E-06	 -3.3262E-04	 -5.1258E-09	1.00
2004	1	1	1	4	  3.7725E-07	  3.9107E-07	  2.9775E-07	 -9.3131E-05	  8.4170E-07	  8.6197E-07	  1.2981E-06	  2.0087E-08	 -9.7534E-07	 -6.7145E-04	 -1.2139E-08	1.00
2004	1	1	1	5	  1.7057E-06	  1.7261E-06	  1.4008E-05	 -4.1424E-06	  4.1287E-06	  2.2440E-06	  5.1655E-06	  8.2692E-08	  1.7186E-06	  9.0154E-05	  1.3580E-09	0.98
2004	1	1	1	6	 -1.2021E-06	 -1.2313E-06	 -7.6092E-06	 -6.8426E-05	 -2.7385E-06	 -1.6584E-06	 -3.2056E-06	 -5.7112E-08	 -2.4604E-06	 -6.7926E-04	 -1.2900E-08	1.00
2004	1	1	1	7	 -1.1446E-07	 -1.2444E-07	  5.7134E-07	  2.0341E-04	 -2.4244E-07	 -3.9298E-07	 -3.6812E-07	 -8.7652E-09	  2.5325E-06	  1.1129E-03	  1.7396E-08	1.00
2004	1	1	1	8	  5.5624E-05	  5.6472E-05	  2.5680E-04	  5.8358E-02	  9.3934E-05	  1.5753E-05	  4.9483E-05	  1.5307E-06	  9.8061E-04	  1.3537E-01	  1.6347E-06	0.98
2004	1	1	1	9	  3.5313E-04	  3.5955E-04	  1.6986E-03	  3.6437E-01	  5.9498E-04	  9.0265E-05	  3.1850E-04	  9.7254E-06	  6.2113E-03	  8.1018E-01	  9.8048E-06	1.00
2004	1	1	1	10	  7.1487E-04	  7.2853E-04	  3.3846E-03	  6.9645E-01	  1.2361E-03	  1.5789E-04	  6.3133E-04	  2.0395E-05	  1.2043E-02	  1.5681E+00	  1.9633E-05	1.00
2004	1	1	1	11	  8.7282E-04	  8.8907E-04	  4.1133E-03	  8.2819E-01	  1.5323E-03	  1.8198E-04	  7.5984E-04	  2.5336E-05	  1.4363E-02	  1.9405E+00	  2.5080E-05	0.98
2004	1	1	1	12	  9.2489E-04	  9.4224E-04	  4.2729E-03	  8.8952E-01	  1.6130E-03	  1.8691E-04	  7.7823E-04	  2.6612E-05	  1.5414E-02	  2.0687E+00	  2.6596E-05	1.00
2004	1	1	1	13	  5.2239E-04	  5.3264E-04	  2.2965E-03	  5.2832E-01	  8.8647E-04	  1.0831E-04	  4.2071E-04	  1.4531E-05	  9.1069E-03	  1.1754E+00	  1.4555E-05	0.98
2004	1	1	1	14	  2.2265E-04	  2.2694E-04	  9.2068E-04	  2.4637E-01	  3.6196E-04	  5.0350E-05	  1.6804E-04	  5.8184E-06	  4.1717E-03	  5.5082E-01	  6.6568E-06	1.00
2004	1	1	1	15	  2.6717E-05	  2.7125E-05	  1.1926E-04	  2.8066E-02	  4.5067E-05	  8.1089E-06	  2.4415E-05	  7.3527E-07	  4.7097E-04	  6.4224E-02	  7.6521E-07	1.00
2004	1	1	1	16	  7.5786E-07	  7.6065E-07	  6.8910E-06	  1.7545E-04	  1.8014E-06	  7.6797E-07	  2.1352E-06	  3.3420E-08	  3.3477E-06	  5.5560E-04	  7.0792E-09	0.98
2004	1	1	1	17	  3.8966E-06	  3.9739E-06	  2.5296E-05	  5.6612E-05	  9.0548E-06	  5.5793E-06	  1.1232E-05	  1.8777E-07	  5.3006E-06	  2.5810E-04	  3.8570E-09	1.00
2004	1	1	1	18	  3.7030E-06	  3.7746E-06	  2.4784E-05	  1.1315E-04	  8.5875E-06	  5.1287E-06	  1.0477E-05	  1.7713E-07	  6.0424E-06	  5.0465E-04	  8.1955E-09	1.00
2004	1	1	1	19	  2.1490E-06	  2.1861E-06	  1.4896E-05	  2.1620E-05	  5.0299E-06	  2.9730E-06	  6.2216E-06	  1.0341E-07	  2.8650E-06	 -1.4098E-04	 -3.3074E-09	0.98
2004	1	1	1	20	  1.0795E-06	  1.0979E-06	  7.7771E-06	  6.7411E-05	  2.5069E-06	  1.3959E-06	  2.9921E-06	  5.0890E-08	  2.3075E-06	  2.4588E-04	  3.7910E-09	1.00
2004	1	1	1	21	 -1.8565E-07	 -1.9384E-07	 -8.4319E-07	  3.3564E-05	 -4.0208E-07	 -2.9025E-07	 -4.1749E-07	 -9.5037E-09	  1.4248E-07	  2.1899E-05	 -8.4740E-10	1.00
2004	1	1	1	22	 -3.0507E-07	 -3.1728E-07	 -1.1566E-06	  4.7771E-05	 -6.3538E-07	 -4.5577E-07	 -6.5005E-07	 -1.5165E-08	 -4.6557E-09	  3.6769E-04	  5.3459E-09	0.98
2004	1	1	1	23	  5.4286E-07	  5.3536E-07	  6.3166E-06	  7.8823E-05	  1.4225E-06	  5.5849E-07	  1.9167E-06	  2.5004E-08	  1.4172E-06	  1.5627E-04	  8.5629E-11	0.98
2004	1	2	2	0	 -5.3553E-07	 -5.4583E-07	 -3.0877E-06	  4.8725E-05	 -1.2521E-06	 -8.5218E-07	 -1.6559E-06	 -2.6683E-08	  6.3545E-08	  4.6592E-04	  8.5614E-09	1.00
2004	1	2	2	1	  5.6480E-06	  5.7226E-06	  4.4093E-05	 -2.8442E-06	  1.3630E-05	  7.7513E-06	  1.7325E-05	  2.7439E-07	  5.4961E-06	  4.8929E-04	  6.9150E-09	0.98
2004	1	2	2	2	  4.1494E-06	  4.2278E-06	  2.8748E-05	  5.4170E-05	  9.7559E-06	  5.8618E-06	  1.2100E-05	  2.0063E-07	  5.2414E-06	  9.7917E-04	  1.8083E-08	1.00
2004	1	2	2	3	  3.8447E-06	  3.8984E-06	  2.9510E-05	  2.2392E-05	  9.1944E-06	  5.1973E-06	  1.1513E-05	  1.8581E-07	  4.4363E-06	  1.4053E-04	  1.2432E-09	1.00
2004	1	2	2	4	  1.6334E-06	  1.6598E-06	  1.1226E-05	 -1.9545E-05	  3.8683E-06	  2.3647E-06	  4.9594E-06	  7.9487E-08	  1.4630E-06	 -2.7956E-04	 -5.9545E-09	0.98
2004	1	2	2	5	  1.3743E-06	  1.4017E-06	  8.9543E-06	  2.4552E-07	  3.2371E-06	  2.0549E-06	  4.1311E-06	  6.7022E-08	  1.3454E-06	  2.9040E-04	  5.2174E-09	1.00
2004	1	2	2	6	 -8.7371E-07	 -8.7992E-07	 -7.5616E-06	 -3.3998E-05	 -2.1255E-06	 -1.0840E-06	 -2.6759E-06	 -4.1581E-08	 -1.3995E-06	  2.6037E-05	  1.7577E-09	1.00
2004	1	2	2	7	 -1.7053E-06	 -1.7313E-06	 -1.4821E-05	  6.0987E-04	 -4.4896E-06	 -2.9585E-06	 -6.3158E-06	 -9.4965E-08	  7.8562E-06	  1.0840E-03	  1.0962E-08	0.98
2004	1	2	2	8	  1.2621E-04	  1.2827E-04	  5.2165E-04	  1.4196E-01	  2.0714E-04	  3.2594E-05	  9.9590E-05	  3.3076E-06	  2.3639E-03	  3.4158E-01	  4.1956E-06	1.00
2004	1	2	2	9	  1.1739E-03	  1.1970E-03	  4.8703E-03	  1.3426E+00	  1.9142E-03	  2.6623E-04	  9.0618E-04	  3.0221E-05	  2.2485E-02	  3.3420E+00	  4.2934E-05	1.00
2004	1	2	2	10	  2.6186E-03	  2.6707E-03	  1.1404E-02	  2.7238E+00	  4.4434E-03	  5.5402E-04	  2.1459E-03	  7.2025E-05	  4.6508E-02	  6.5697E+00	  8.4951E-05	0.98
2004	1	2	2	11	  4.0521E-03	  4.1289E-03	  1.8264E-02	  3.9774E+00	  7.0511E-03	  8.3803E-04	  3.4291E-03	  1.1564E-04	  6.8482E-02	  9.6352E+00	  1.2617E-04	1.00
2004	1	2	2	12	  4.1984E-03	  4.2788E-03	  1.8780E-02	  4.1794E+00	  7.2890E-03	  8.5991E-04	  3.5135E-03	  1.1904E-04	  7.1711E-02	  1.0418E+01	  1.3842E-04	1.00
2004	1	2	2	13	  2.9050E-03	  2.9637E-03	  1.2530E-02	  3.0739E+00	  4.9224E-03	  6.0625E-04	  2.3473E-03	  7.9276E-05	  5.2237E-02	  7.7678E+00	  1.0297E-04	0.98
2004	1	2	2	14	  1.3055E-03	  1.3311E-03	  5.5790E-03	  1.4637E+00	  2.1424E-03	  3.0864E-04	  1.0380E-03	  3.4118E-05	  2.4580E-02	  3.6135E+00	  4.6278E-05	1.00
2004	1	2	2	15	  2.0211E-04	  2.0540E-04	  8.7453E-04	  2.2363E-01	  3.3651E-04	  5.6335E-05	  1.7106E-04	  5.3910E-06	  3.7170E-03	  5.6107E-01	  7.0590E-06	1.00
2004	1	2	2	16	  4.3345E-07	  4.3329E-07	  1.7025E-06	  1.0379E-03	  3.6604E-07	 -6.9022E-07	 -8.8764E-07	 -3.7866E-10	  1.7104E-05	  1.9840E-03	  2.1236E-08	0.98
2004	1	2	2	17	 -3.8683E-07	 -3.8644E-07	 -4.5988E-06	 -2.5270E-05	 -1.0460E-06	 -4.7508E-07	 -1.4001E-06	 -1.8998E-08	 -3.4300E-07	 -7.3625E-04	 -1.3285E-08	1.00
2004	1	2	2	18	 -1.0624E-06	 -1.0835E-06	 -7.1208E-06	 -1.0446E-04	 -2.5226E-06	 -1.5831E-06	 -3.2530E-06	 -5.0715E-08	 -2.1786E-06	 -1.2329E-03	 -2.1383E-08	1.00
2004	1	2	2	19	  6.2638E-07	  6.3752E-07	  3.3304E-06	  1.4737E-05	  1.4640E-06	  1.0277E-06	  2.0214E-06	  3.0317E-08	  7.4169E-07	 -1.4923E-04	 -4.2811E-09	0.98
2004	1	2	2	20	 -1.8236E-06	 -1.8551E-06	 -1.3392E-05	 -6.6006E-05	 -4.3020E-06	 -2.4624E-06	 -5.2646E-06	 -8.7374E-08	 -2.9189E-06	 -6.5549E-04	 -1.1675E-08	1.00
2004	1	2	2	21	 -2.9938E-09	 -3.0301E-09	 -4.6276E-07	 -1.8100E-05	  4.6684E-08	  1.8049E-07	  3.0876E-07	  8.8070E-10	 -6.6931E-07	  1.8366E-04	  2.8690E-09	1.00
2004	1	2	2	22	 -1.9879E-06	 -2.0157E-06	 -1.5437E-05	 -5.1836E-05	 -4.7651E-06	 -2.6750E-06	 -5.9673E-06	 -9.5665E-08	 -2.7326E-06	 -5.0454E-04	 -8.2414E-09	0.98
2004	1	2	2	23	 -6.9925E-07	 -7.1185E-07	 -5.6400E-06	 -3.3963E-05	 -1.6205E-06	 -8.0364E-07	 -1.7807E-06	 -3.2935E-08	 -1.5070E-06	 -2.6287E-04	 -5.4695E-09	0.98
2004	1	3	3	0	 -1.7019E-06	 -1.7141E-06	 -1.6359E-05	 -5.7325E-05	 -4.1821E-06	 -1.9331E-06	 -5.0292E-06	 -8.1195E-08	 -2.6581E-06	 -5.3543E-04	 -9.4811E-09	1.00
2004	1	3	3	1	 -1.1117E-06	 -1.1191E-06	 -1.0788E-05	 -1.1522E-04	 -2.6592E-06	 -1.0842E-06	 -2.9812E-06	 -5.1081E-08	 -3.1805E-06	 -3.5724E-04	 -5.5288E-09	0.98
2004	1	3	3	2	 -9.0949E-07	 -9.2365E-07	 -6.9380E-06	 -1.4962E-04	 -2.0567E-06	 -9.8132E-07	 -2.2404E-06	 -4.0813E-08	 -3.5209E-06	 -4.3448E-04	 -6.4979E-09	1.00
2004	1	3	3	3	 -1.0847E-06	 -1.1051E-06	 -7.7508E-06	 -2.0032E-06	 -2.5464E-06	 -1.4871E-06	 -3.0951E-06	 -5.2475E-08	 -1.3008E-06	 -1.6506E-04	 -3.5070E-09	1.00
2004	1	3	3	4	  1.6299E-06	  1.6736E-06	  7.1736E-06	 -8.4539E-05	  3.7058E-06	  2.7892E-06	  4.9094E-06	  8.0753E-08	  5.7846E-07	 -6.5489E-04	 -1.2136E-08	0.98
2004	1	3	3	5	  5.0433E-07	  5.1215E-07	  3.3320E-06	 -7.0768E-05	  1.2258E-06	  8.2357E-07	  1.6863E-06	  2.5748E-08	 -5.4721E-07	 -4.2418E-04	 -7.5701E-09	1.00
2004	1	3	3	6	  4.3154E-07	  4.6743E-07	 -2.8957E-06	 -7.0346E-05	  7.4050E-07	  1.1454E-06	  9.6369E-07	  2.2311E-08	 -2.3578E-07	 -3.8038E-04	 -5.3936E-09	1.00
2004	1	3	3	7	  2.2053E-06	  2.2611E-06	  1.0814E-05	  3.7107E-04	  4.7137E-06	  2.8967E-06	  5.2769E-06	  9.8877E-08	  8.8545E-06	  4.4820E-04	  3.2799E-09	0.98
2004	1	3	3	8	  8.8332E-05	  8.9718E-05	  3.9753E-04	  9.2036E-02	  1.4896E-04	  2.6661E-05	  7.9463E-05	  2.4419E-06	  1.5482E-03	  2.1106E-01	  2.5299E-06	1.00
2004	1	3	3	9	  5.4011E-04	  5.5039E-04	  2.4048E-03	  5.7756E-01	  8.9527E-04	  1.3278E-04	  4.5032E-04	  1.4520E-05	  9.8018E-03	  1.3132E+00	  1.6093E-05	1.00
2004	1	3	3	10	  1.2927E-03	  1.3181E-03	  5.8842E-03	  1.2757E+00	  2.2186E-03	  2.8578E-04	  1.1050E-03	  3.6596E-05	  2.2029E-02	  2.8856E+00	  3.6205E-05	0.98
2004	1	3	3	11	  1.5940E-03	  1.6234E-03	  7.5100E-03	  1.4803E+00	  2.8045E-03	  3.3787E-04	  1.3969E-03	  4.6702E-05	  2.5817E-02	  3.3101E+00	  4.1704E-05	1.00
2004	1	3	3	12	  6.9459E-04	  7.0774E-04	  3.1281E-03	  6.5930E-01	  1.2082E-03	  1.4364E-04	  5.7812E-04	  2.0080E-05	  1.1477E-02	  1.4608E+00	  1.8255E-05	1.00
2004	1	3	3	13	  5.4601E-04	  5.5679E-04	  2.4082E-03	  5.4024E-01	  9.3044E-04	  1.1893E-04	  4.5199E-04	  1.5382E-05	  9.3520E-03	  1.1686E+00	  1.4244E-05	0.98
2004	1	3	3	14	  2.3416E-04	  2.3879E-04	  9.4887E-04	  2.5816E-01	  3.8042E-04	  5.3458E-05	  1.7566E-04	  6.1336E-06	  4.3781E-03	  5.7474E-01	  6.9443E-06	1.00
