% Station Landvik, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 2010	
% Octa-based data (http://eklima.met.no) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2011	2012	2013	2014	2015	2016	2017	2018	2019	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2008	1	1	1	0	 -2.1812E-06	 -2.2192E-06	 -1.5782E-05	  2.1021E-05	 -5.1409E-06	 -2.9896E-06	 -6.3068E-06	 -1.0578E-07	 -2.2833E-06	  3.8117E-05	  2.9671E-11	0.98
2008	1	1	1	1	  1.2044E-06	  1.2276E-06	  7.6997E-06	  1.8881E-05	  2.8340E-06	  1.8129E-06	  3.6552E-06	  5.8443E-08	  1.4061E-06	  2.5667E-04	  3.9812E-09	1.00
2008	1	1	1	2	 -1.2177E-06	 -1.2297E-06	 -1.1040E-05	 -3.7021E-05	 -2.9727E-06	 -1.4669E-06	 -3.6115E-06	 -5.8354E-08	 -1.7882E-06	 -4.6736E-04	 -8.4484E-09	0.98
2008	1	1	1	3	 -9.0484E-07	 -9.2103E-07	 -7.1252E-06	 -4.2663E-05	 -2.1147E-06	 -1.1042E-06	 -2.4178E-06	 -4.2897E-08	 -1.7827E-06	 -4.1790E-04	 -8.2101E-09	1.00
2008	1	1	1	4	  3.2450E-06	  3.3110E-06	  2.0244E-05	 -8.7869E-05	  7.6081E-06	  4.9446E-06	  9.7676E-06	  1.5926E-07	  2.1610E-06	 -2.9188E-04	 -5.1853E-09	1.00
2008	1	1	1	5	 -2.3986E-07	 -2.6071E-07	  8.2059E-07	  3.7512E-05	 -3.8560E-07	 -4.5853E-07	 -2.4193E-07	 -1.1910E-08	 -2.0181E-07	  1.3373E-04	  2.4391E-10	0.98
2008	1	1	1	6	  7.4413E-07	  7.5216E-07	  6.0548E-06	  1.3947E-05	  1.8067E-06	  9.9337E-07	  2.3044E-06	  3.5892E-08	  9.0561E-07	  8.9476E-05	  9.8812E-10	1.00
2008	1	1	1	7	  1.3478E-06	  1.3563E-06	  1.0078E-05	  4.7352E-04	  3.0776E-06	  1.4574E-06	  3.7176E-06	  5.6753E-08	  8.2140E-06	  1.3027E-03	  1.4790E-08	1.00
2008	1	1	1	8	  6.5331E-05	  6.6421E-05	  2.0255E-04	  8.9132E-02	  1.0030E-04	  1.1575E-05	  3.9244E-05	  1.4515E-06	  1.4421E-03	  2.3741E-01	  3.0252E-06	0.98
2008	1	1	1	9	  6.1510E-04	  6.2858E-04	  1.6848E-03	  7.9616E-01	  9.3665E-04	  1.2403E-04	  3.4050E-04	  1.4193E-05	  1.3144E-02	  2.0207E+00	  2.5926E-05	1.00
2008	1	1	1	10	  1.6825E-03	  1.7214E-03	  5.2158E-03	  1.9786E+00	  2.6787E-03	  3.3107E-04	  1.0108E-03	  4.2388E-05	  3.3267E-02	  4.9983E+00	  6.5667E-05	1.00
2008	1	1	1	11	  2.1550E-03	  2.2025E-03	  7.5514E-03	  2.3767E+00	  3.5448E-03	  4.1961E-04	  1.4161E-03	  5.7104E-05	  4.0304E-02	  6.0364E+00	  8.0361E-05	0.98
2008	1	1	1	12	  2.8693E-03	  2.9341E-03	  9.7234E-03	  3.2943E+00	  4.6851E-03	  5.4313E-04	  1.8151E-03	  7.4297E-05	  5.5334E-02	  8.9694E+00	  1.2330E-04	1.00
