% Station Landvik, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:57:40
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2019	1	1	1	0	  2.0242E-06	  2.0674E-06	  7.4770E-06	 -2.1553E-05	  4.4127E-06	  3.5473E-06	  4.7101E-06	  1.1139E-07	  1.6439E-06	  4.1432E-04	  6.1696E-09	1.00
2019	1	1	1	1	  1.3336E-06	  1.3499E-06	  8.9657E-06	 -6.4057E-06	  3.1774E-06	  2.0589E-06	  3.5727E-06	  7.2973E-08	  1.2777E-06	  4.7392E-04	  7.0851E-09	1.00
2019	1	1	1	2	 -2.6277E-07	 -2.5353E-07	 -5.7132E-06	 -3.4956E-05	 -8.5576E-07	 -2.4351E-08	 -1.0149E-06	 -1.2748E-08	 -1.1043E-06	 -6.9546E-05	 -8.9456E-10	0.98
2019	1	1	1	3	  6.6809E-07	  6.9104E-07	 -6.3796E-07	 -1.9432E-05	  1.2352E-06	  1.3810E-06	  1.1538E-06	  3.7792E-08	 -4.4799E-09	  2.4813E-04	  3.4766E-09	1.00
2019	1	1	1	4	  4.2060E-07	  4.3960E-07	 -1.5155E-06	 -1.2784E-05	  7.4228E-07	  1.0522E-06	  7.7694E-07	  2.4200E-08	 -1.1291E-07	  3.0261E-04	  4.5662E-09	1.00
2019	1	1	1	5	  2.3305E-06	  2.3721E-06	  1.0895E-05	 -3.7071E-05	  5.2023E-06	  3.8341E-06	  5.5272E-06	  1.2792E-07	  1.9049E-06	  2.6501E-04	  3.8687E-09	0.98
2019	1	1	1	6	  1.4398E-06	  1.4609E-06	  9.0686E-06	 -5.8327E-06	  3.4370E-06	  2.3458E-06	  3.9657E-06	  7.8199E-08	  1.7638E-06	  2.0466E-04	  3.5207E-09	1.00
2019	1	1	1	7	 -7.8523E-07	 -7.8075E-07	 -9.6201E-06	  6.4055E-04	 -2.4110E-06	 -1.5409E-06	 -3.2099E-06	 -5.6821E-08	  8.6138E-06	  1.8318E-03	  2.4297E-08	1.00
2019	1	1	1	8	  1.2440E-04	  1.2716E-04	  4.4117E-04	  1.6134E-01	  1.9823E-04	  2.6990E-05	  8.7632E-05	  2.9452E-06	  2.6409E-03	  4.4983E-01	  5.9572E-06	0.98
2019	1	1	1	9	  9.8826E-04	  1.0130E-03	  2.8093E-03	  1.2538E+00	  1.5264E-03	  2.1096E-04	  5.6758E-04	  2.4448E-05	  2.0624E-02	  3.3682E+00	  4.4239E-05	1.00
2019	1	1	1	10	  2.2563E-03	  2.3115E-03	  6.9502E-03	  2.6837E+00	  3.6038E-03	  4.4288E-04	  1.3446E-03	  5.8778E-05	  4.4447E-02	  7.2362E+00	  9.5317E-05	1.00
2019	1	1	1	11	  3.1476E-03	  3.2205E-03	  1.0630E-02	  3.5918E+00	  5.1500E-03	  6.0201E-04	  1.9970E-03	  8.3555E-05	  5.9714E-02	  9.8199E+00	  1.3022E-04	0.98
2019	1	1	1	12	  3.1569E-03	  3.2298E-03	  1.0713E-02	  3.6088E+00	  5.1659E-03	  6.0303E-04	  2.0093E-03	  8.3833E-05	  5.9902E-02	  9.9737E+00	  1.3243E-04	1.00
2019	1	1	1	13	  2.2056E-03	  2.2590E-03	  6.9126E-03	  2.6118E+00	  3.5309E-03	  4.3541E-04	  1.3304E-03	  5.7839E-05	  4.3193E-02	  7.1270E+00	  9.3998E-05	0.98
2019	1	1	1	14	  8.6410E-04	  8.8509E-04	  2.6077E-03	  1.0563E+00	  1.3527E-03	  1.9472E-04	  5.2218E-04	  2.2156E-05	  1.7469E-02	  2.7544E+00	  3.5998E-05	1.00
2019	1	1	1	15	  1.2476E-04	  1.2747E-04	  4.5073E-04	  1.5750E-01	  2.0017E-04	  2.7640E-05	  8.8284E-05	  3.0278E-06	  2.5932E-03	  4.2429E-01	  5.5927E-06	1.00
2019	1	1	1	16	 -6.0156E-07	 -6.0160E-07	 -6.9314E-06	  6.6521E-04	 -1.9638E-06	 -1.5794E-06	 -2.9189E-06	 -4.7790E-08	  9.2190E-06	  1.8128E-03	  2.3445E-08	0.98
2019	1	1	1	17	 -3.5812E-07	 -3.6235E-07	 -2.5316E-06	  1.8230E-05	 -8.7707E-07	 -5.8752E-07	 -1.0327E-06	 -2.0078E-08	 -5.8459E-08	 -1.4373E-04	 -2.2633E-09	1.00
2019	1	1	1	18	 -7.1426E-07	 -7.2182E-07	 -4.9786E-06	 -1.8114E-05	 -1.6880E-06	 -1.0491E-06	 -1.8565E-06	 -3.8995E-08	 -7.8132E-07	 -5.3959E-04	 -7.7534E-09	1.00
2019	1	1	1	19	 -3.6539E-07	 -3.6209E-07	 -4.5314E-06	  1.2894E-05	 -9.6576E-07	 -3.0247E-07	 -1.0089E-06	 -1.9713E-08	 -3.2202E-07	  6.1996E-05	  1.0976E-09	0.98
