% Station Nyaalesund, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1902	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1900	- 1900
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	
% Pyranometer-based gapfilling for station Bergen, period 1995-2021: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no).
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-2021: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-2021: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-2021: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2009	1	1	1	0	  2.3508E-07	  2.5493E-07	  2.7804E-06	 -5.8808E-06	  6.9671E-07	  3.3884E-07	  8.9609E-07	  1.3725E-08	 -3.2149E-07	 -4.0271E-04	 -8.0363E-09	0.98
2009	1	1	1	1	  4.2997E-07	  4.6204E-07	  3.9073E-06	  2.8996E-05	  1.2146E-06	  7.3810E-07	  1.6257E-06	  2.4026E-08	 -7.0714E-08	 -1.7858E-04	 -4.8509E-09	1.00
2009	1	1	1	2	  6.8516E-07	  6.3964E-07	 -2.4153E-06	 -6.1547E-05	  1.0753E-06	  1.0815E-06	  5.9200E-07	  2.6238E-08	  2.2928E-06	  2.4999E-04	  7.0162E-09	0.98
2009	1	1	1	3	  1.7522E-06	  1.7429E-06	  9.5253E-06	 -7.8524E-05	  4.1511E-06	  2.5767E-06	  4.4134E-06	  8.4264E-08	  1.2859E-06	  5.9987E-04	  1.2811E-08	1.00
2009	1	1	1	4	  1.7345E-07	  1.3330E-07	 -5.0223E-07	 -3.2952E-05	  2.0829E-07	  1.0821E-07	 -1.4512E-07	  4.2417E-09	  8.5468E-07	  6.8890E-04	  1.4787E-08	1.00
2009	1	1	1	5	  1.5473E-06	  1.5258E-06	  9.4831E-06	 -8.9729E-05	  3.6852E-06	  2.0910E-06	  3.7708E-06	  7.3671E-08	  1.0755E-06	  6.6487E-04	  1.4742E-08	0.98
2009	1	1	1	6	  1.7204E-07	  1.5504E-07	 -5.5821E-06	 -1.3460E-04	 -1.2775E-09	  7.2149E-07	 -1.1799E-07	  6.4134E-09	 -2.9625E-07	 -6.1285E-04	 -9.3485E-09	1.00
2009	1	1	1	7	 -2.3226E-07	 -2.1739E-07	  4.1648E-07	 -2.6799E-05	 -4.1492E-07	 -3.9604E-07	 -3.5373E-07	 -8.7751E-09	 -1.0582E-06	 -6.6860E-04	 -1.2526E-08	1.00
2009	1	1	1	8	  9.3566E-07	  9.2898E-07	  2.2337E-06	 -1.1748E-05	  1.9175E-06	  1.3059E-06	  1.6844E-06	  4.1783E-08	  2.3902E-06	 -4.9229E-04	 -8.6548E-09	0.98
2009	1	1	1	9	  1.2253E-06	  1.2499E-06	  7.4585E-06	 -3.1808E-05	  2.9711E-06	  1.7815E-06	  3.2440E-06	  6.1073E-08	  9.5090E-07	 -6.4066E-04	 -1.2147E-08	1.00
2009	1	1	1	10	  8.4391E-07	  8.4421E-07	  5.0140E-06	  7.8937E-05	  1.9274E-06	  9.8508E-07	  1.8259E-06	  3.8183E-08	  2.6244E-06	  2.4353E-04	  3.6908E-09	1.00
2009	1	1	1	11	  1.2209E-06	  1.2394E-06	  7.1030E-06	  2.2598E-05	  2.9210E-06	  1.7574E-06	  3.1574E-06	  5.9378E-08	  1.7414E-06	 -9.3920E-05	 -2.5354E-09	0.98
2009	1	1	1	12	  1.8275E-07	  1.9822E-07	  4.5196E-06	  7.8905E-05	  6.8385E-07	  8.2283E-08	  8.8901E-07	  1.0408E-08	  3.5796E-07	  4.5434E-04	  7.0187E-09	1.00
2009	1	1	1	13	  2.5687E-06	  2.5876E-06	  1.5850E-05	  7.2195E-05	  6.1154E-06	  3.4367E-06	  6.3670E-06	  1.2259E-07	  4.4244E-06	  2.9012E-04	  4.3020E-09	0.98
2009	1	1	1	14	  1.3882E-06	  1.4132E-06	  1.0245E-05	  3.3830E-05	  3.4626E-06	  1.8542E-06	  3.7768E-06	  6.8577E-08	  1.6955E-06	 -5.0907E-05	 -1.9451E-09	1.00
2009	1	1	1	15	  1.0358E-06	  1.0405E-06	  2.6667E-06	 -7.6221E-05	  2.2524E-06	  1.6981E-06	  2.3189E-06	  4.9457E-08	  1.0327E-06	 -6.5982E-04	 -1.1418E-08	1.00
2009	1	1	1	16	  1.5058E-06	  1.5276E-06	  1.0841E-05	 -8.3352E-05	  3.7530E-06	  2.0624E-06	  4.0715E-06	  7.5754E-08	  4.1477E-07	 -6.7747E-04	 -1.1829E-08	0.98
2009	1	1	1	17	  2.5136E-06	  2.5189E-06	  1.1763E-05	 -4.0851E-05	  5.7611E-06	  3.6596E-06	  5.9397E-06	  1.1932E-07	  3.5557E-06	 -1.3329E-04	 -1.7955E-09	1.00
2009	1	1	1	18	  2.6946E-07	  2.6155E-07	 -8.6810E-07	 -6.6637E-05	  5.0730E-07	  5.9894E-07	  5.3697E-07	  1.2571E-08	 -1.7385E-07	 -6.5905E-05	 -1.6556E-10	1.00
