% Station Nyaalesund, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 12:00:21
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2018	1	1	1	0	  2.6452E-07	  2.9316E-07	 -1.7026E-06	  2.0397E-05	  5.6009E-07	  9.0879E-07	  9.8175E-07	  1.4586E-08	  1.1547E-07	 -1.8711E-04	 -5.1925E-09	1.00
2018	1	1	1	1	  6.0264E-07	  6.3005E-07	 -4.5793E-06	  1.4175E-04	  1.0340E-06	  1.6742E-06	  1.4284E-06	  2.6763E-08	  2.8847E-06	  4.6337E-04	  4.9596E-09	1.00
2018	1	1	1	2	 -7.9845E-07	 -7.8465E-07	 -9.8429E-06	  4.1172E-05	 -2.0952E-06	 -4.5633E-07	 -1.8491E-06	 -3.8215E-08	 -7.1476E-07	  1.2579E-04	  5.2762E-10	0.98
2018	1	1	1	3	 -1.9048E-07	 -1.8261E-07	 -1.2902E-05	  9.3870E-07	 -1.0500E-06	  9.0406E-07	 -7.7894E-07	 -1.1438E-08	  5.5768E-07	  1.8977E-06	 -1.4030E-09	1.00
2018	1	1	1	4	 -4.1559E-07	 -4.4825E-07	 -1.5440E-05	 -1.1273E-04	 -1.7263E-06	  5.3366E-07	 -1.7643E-06	 -2.4465E-08	 -4.0482E-07	  2.9633E-04	  7.0885E-09	1.00
2018	1	1	1	5	 -4.8243E-07	 -4.7360E-07	 -1.2357E-05	 -5.6544E-05	 -1.5318E-06	  4.9504E-07	 -1.0909E-06	 -2.2725E-08	 -1.3677E-06	  9.9571E-05	  1.1970E-09	0.98
2018	1	1	1	6	  6.3891E-07	  6.3322E-07	 -6.0021E-06	 -3.4293E-06	  9.5137E-07	  1.6938E-06	  1.0484E-06	  2.6908E-08	  2.0044E-06	  2.1066E-04	  3.4836E-09	1.00
2018	1	1	1	7	  1.6371E-06	  1.6719E-06	  3.1300E-06	 -2.0898E-05	  3.6745E-06	  3.1769E-06	  4.3701E-06	  8.0459E-08	  1.5824E-06	 -1.1406E-04	 -3.5360E-09	1.00
2018	1	1	1	8	  1.4488E-06	  1.4638E-06	  2.0662E-06	 -7.8126E-06	  3.1391E-06	  2.7077E-06	  3.5416E-06	  6.8916E-08	  2.1247E-06	  1.2575E-04	  1.5494E-09	0.98
2018	1	1	1	9	 -1.4321E-06	 -1.4550E-06	 -2.3643E-05	 -1.1654E-04	 -4.2580E-06	 -6.6858E-07	 -4.3679E-06	 -7.2892E-08	 -1.6127E-06	 -4.6140E-04	 -7.6898E-09	1.00
2018	1	1	1	10	 -5.9882E-07	 -5.8476E-07	 -1.1187E-05	  1.6051E-05	 -1.7079E-06	  1.6407E-07	 -1.2686E-06	 -2.8407E-08	 -8.7127E-07	  3.9054E-04	  5.5329E-09	1.00
2018	1	1	1	11	 -6.8613E-08	 -5.2912E-08	 -9.1518E-06	  5.4795E-05	 -5.6175E-07	  8.7449E-07	 -1.8774E-07	 -4.5571E-09	  7.9555E-07	  3.6259E-04	  4.4982E-09	0.98
2018	1	1	1	12	  9.6750E-07	  1.0086E-06	 -1.5115E-06	 -6.1775E-05	  2.0878E-06	  2.4062E-06	  2.8243E-06	  4.9802E-08	 -1.9420E-08	 -6.0134E-04	 -1.2496E-08	1.00
2018	1	1	1	13	 -1.7324E-06	 -1.7503E-06	 -2.4689E-05	 -1.8225E-05	 -4.9300E-06	 -1.1454E-06	 -5.0272E-06	 -8.8004E-08	 -9.8669E-07	  2.0404E-05	 -3.0050E-10	0.98
2018	1	1	1	14	 -1.7895E-06	 -1.8007E-06	 -2.1644E-05	 -9.5795E-05	 -4.8177E-06	 -1.3874E-06	 -4.8129E-06	 -8.7461E-08	 -2.7307E-06	 -4.4223E-04	 -7.8535E-09	1.00
2018	1	1	1	15	 -7.9310E-07	 -7.8277E-07	 -1.5483E-05	 -2.1994E-05	 -2.4098E-06	  2.2963E-08	 -2.1744E-06	 -3.9197E-08	 -7.4183E-07	 -3.3666E-04	 -7.5200E-09	1.00
2018	1	1	1	16	 -7.3989E-07	 -7.2850E-07	 -1.3787E-05	 -5.3499E-05	 -2.1633E-06	  7.3423E-08	 -1.8227E-06	 -3.5187E-08	 -1.4957E-06	 -2.7131E-04	 -5.8345E-09	0.98
2018	1	1	1	17	 -1.0878E-06	 -1.0649E-06	 -1.2823E-05	 -1.8969E-05	 -2.7742E-06	 -5.6602E-07	 -2.3388E-06	 -5.0002E-08	 -2.2334E-06	 -2.3766E-04	 -5.9893E-09	1.00
2018	1	1	1	18	 -1.1404E-06	 -1.1433E-06	 -1.9500E-05	 -3.7364E-06	 -3.3559E-06	 -3.0879E-07	 -3.1717E-06	 -5.7565E-08	 -7.3511E-07	  2.1563E-04	  2.7361E-09	1.00
