% Station Østerås, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:09:06
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1997	1	1	1	0	  7.3035E-06	  7.5220E-06	  4.8491E-05	 -1.1629E-03	  1.8433E-05	  1.2340E-05	  2.4504E-05	  3.7967E-07	 -1.2742E-05	 -2.6184E-03	 -3.8774E-08	1.00
1997	1	1	1	1	 -2.6620E-07	 -2.6716E-07	  1.7645E-06	 -7.4660E-05	 -3.1568E-07	 -4.2549E-07	 -1.1147E-07	 -9.1581E-09	 -2.2442E-06	 -2.1266E-04	 -3.6553E-09	1.00
1997	1	1	1	2	 -3.9588E-07	 -3.7698E-07	 -3.0018E-06	 -7.9728E-05	 -7.3612E-07	 -1.1321E-07	 -3.1306E-07	 -1.4076E-08	 -2.6159E-06	 -4.1756E-04	 -8.4716E-09	0.98
1997	1	1	1	3	  2.6469E-07	  2.9825E-07	  2.9128E-06	 -1.8173E-04	  1.0037E-06	  8.5984E-07	  1.9469E-06	  2.0261E-08	 -3.8258E-06	 -5.6221E-04	 -1.0159E-08	1.00
1997	1	1	1	4	 -4.0509E-07	 -3.8219E-07	 -4.3963E-06	 -2.2615E-04	 -7.4426E-07	  1.7740E-07	 -1.1261E-07	 -1.1782E-08	 -4.8206E-06	 -8.6150E-04	 -1.4769E-08	1.00
1997	1	1	1	5	  1.0933E-06	  1.1266E-06	  4.5374E-06	  8.5867E-06	  2.5058E-06	  1.8469E-06	  3.1666E-06	  5.2573E-08	  1.1700E-06	  3.5522E-04	  5.7427E-09	0.98
1997	1	1	1	6	  1.2576E-06	  1.2990E-06	  6.1256E-06	 -1.2692E-04	  2.9954E-06	  2.1816E-06	  3.8956E-06	  6.3357E-08	 -7.1382E-07	 -4.1685E-04	 -7.0178E-09	1.00
1997	1	1	1	7	 -1.0274E-06	 -1.0298E-06	 -8.0942E-06	  6.3214E-04	 -2.7063E-06	 -1.8469E-06	 -3.5937E-06	 -5.8924E-08	  8.0281E-06	  1.7502E-03	  2.2525E-08	1.00
1997	1	1	1	8	  1.1671E-04	  1.2275E-04	  3.8107E-04	  1.6743E-01	  1.8621E-04	  2.1821E-05	  7.7292E-05	  2.6824E-06	  2.6624E-03	  4.4595E-01	  5.6815E-06	0.98
1997	1	1	1	9	  9.7203E-04	  1.0212E-03	  2.8909E-03	  1.3369E+00	  1.5229E-03	  1.8062E-04	  5.7549E-04	  2.2481E-05	  2.1735E-02	  3.3160E+00	  4.1637E-05	1.00
1997	1	1	1	10	  2.2611E-03	  2.3552E-03	  7.2405E-03	  2.8486E+00	  3.6342E-03	  4.1095E-04	  1.3915E-03	  5.5751E-05	  4.7369E-02	  6.9986E+00	  8.9465E-05	1.00
1997	1	1	1	11	  3.2805E-03	  3.4018E-03	  1.1145E-02	  3.9870E+00	  5.3599E-03	  5.7464E-04	  2.0828E-03	  8.3064E-05	  6.6715E-02	  1.0018E+01	  1.3065E-04	0.98
1997	1	1	1	12	  3.2047E-03	  3.3256E-03	  1.0942E-02	  3.8727E+00	  5.2375E-03	  5.6874E-04	  2.0494E-03	  8.1465E-05	  6.4917E-02	  9.4811E+00	  1.2186E-04	1.00
1997	1	1	1	13	  2.0594E-03	  2.1483E-03	  6.4399E-03	  2.6629E+00	  3.2835E-03	  3.7829E-04	  1.2502E-03	  4.9729E-05	  4.3991E-02	  6.7087E+00	  8.6489E-05	0.98
1997	1	1	1	14	  7.1020E-04	  7.4667E-04	  2.0731E-03	  1.0082E+00	  1.1070E-03	  1.3360E-04	  4.1902E-04	  1.6037E-05	  1.6222E-02	  2.6290E+00	  3.3624E-05	1.00
1997	1	1	1	15	  4.7686E-05	  5.0025E-05	  1.6482E-04	  6.7219E-02	  7.6774E-05	  9.0265E-06	  3.2655E-05	  1.1100E-06	  1.0701E-03	  1.8293E-01	  2.3588E-06	1.00
1997	1	1	1	16	  1.3399E-06	  1.3385E-06	  5.0823E-06	  1.9779E-04	  2.6471E-06	  1.5707E-06	  2.4001E-06	  5.5253E-08	  6.0024E-06	  1.1761E-03	  2.1298E-08	0.98
1997	1	1	1	17	 -1.0040E-06	 -1.0196E-06	 -1.7281E-05	 -6.6727E-05	 -3.0579E-06	 -6.6027E-07	 -3.7748E-06	 -5.0774E-08	 -3.8053E-07	 -5.4214E-04	 -7.7959E-09	1.00
1997	1	1	1	18	 -2.0079E-06	 -2.0395E-06	 -1.2348E-05	 -4.5335E-05	 -4.6061E-06	 -2.6642E-06	 -5.2202E-06	 -9.3317E-08	 -3.4304E-06	 -3.9617E-04	 -7.1407E-09	1.00
