% Station Østerås, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements complemented with the following data sets:
% Strång-based data (http://strang.smhi.se/extraction/index.php) period: 1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	
% Octa-based data (http://eklima.met.no) period: 1995	1996	1997	1998	1999	
% UV-Biometer based data (Finse only) period: 1900	- 1900
% Pyranometer-based data (http://eklima.met.no, http://lmt.bioforsk.no. For Bergen: Data provided by Jan.Olseth@uib.no). Period: 2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1998	1	1	1	0	  3.3063E-07	  3.4093E-07	  2.6938E-06	 -1.3371E-04	  9.0177E-07	  6.0587E-07	  1.2692E-06	  1.8846E-08	 -1.8381E-06	 -4.6676E-04	 -7.1367E-09	0.98
1998	1	1	1	1	 -4.6219E-06	 -4.7016E-06	 -3.1733E-05	  4.0519E-05	 -1.0904E-05	 -6.0859E-06	 -1.2607E-05	 -2.1928E-07	 -5.2207E-06	  3.1487E-05	 -1.4938E-10	1.00
1998	1	1	1	2	 -4.1671E-06	 -4.2437E-06	 -2.6604E-05	 -1.6218E-04	 -9.6988E-06	 -5.5862E-06	 -1.1228E-05	 -1.9459E-07	 -7.3486E-06	 -1.2638E-03	 -2.1014E-08	0.98
1998	1	1	1	3	 -3.5292E-06	 -3.6011E-06	 -2.2800E-05	 -8.8551E-06	 -8.2854E-06	 -4.8170E-06	 -9.6986E-06	 -1.6751E-07	 -4.4150E-06	 -4.6870E-05	 -2.5087E-10	1.00
1998	1	1	1	4	 -4.8351E-06	 -4.9261E-06	 -3.8586E-05	  1.5612E-05	 -1.1775E-05	 -6.0196E-06	 -1.3751E-05	 -2.3170E-07	 -4.9875E-06	  3.7346E-04	  7.7043E-09	1.00
1998	1	1	1	5	 -5.4843E-06	 -5.5778E-06	 -4.1732E-05	 -5.5060E-06	 -1.3187E-05	 -6.9136E-06	 -1.5286E-05	 -2.6083E-07	 -6.3372E-06	 -1.8701E-04	 -3.1082E-09	0.98
1998	1	1	1	6	 -4.1919E-06	 -4.2643E-06	 -2.5425E-05	 -3.0670E-05	 -9.6117E-06	 -5.6099E-06	 -1.0910E-05	 -1.9602E-07	 -6.4450E-06	 -2.0710E-05	 -5.8403E-10	1.00
1998	1	1	1	7	 -1.5867E-06	 -1.6139E-06	 -7.6608E-06	  3.0775E-04	 -3.7180E-06	 -2.7274E-06	 -4.6799E-06	 -7.9955E-08	  2.5468E-06	  4.0512E-04	  2.8023E-09	1.00
1998	1	1	1	8	  6.6960E-05	  6.8924E-05	  3.5044E-04	  6.0965E-02	  1.2062E-04	  2.2698E-05	  6.9271E-05	  2.0294E-06	  1.0428E-03	  1.3428E-01	  1.5997E-06	0.98
1998	1	1	1	9	  7.0938E-04	  7.3143E-04	  3.5971E-03	  6.8823E-01	  1.2439E-03	  1.9949E-04	  6.7717E-04	  2.0451E-05	  1.1803E-02	  1.5469E+00	  1.8948E-05	1.00
1998	1	1	1	10	  1.5009E-03	  1.5399E-03	  7.9228E-03	  1.4080E+00	  2.6812E-03	  3.4760E-04	  1.4457E-03	  4.3860E-05	  2.4459E-02	  3.2670E+00	  4.1558E-05	1.00
1998	1	1	1	11	  1.5157E-03	  1.5511E-03	  8.0986E-03	  1.3740E+00	  2.7465E-03	  3.2894E-04	  1.4765E-03	  4.5098E-05	  2.4052E-02	  3.1693E+00	  4.0534E-05	0.98
1998	1	1	1	12	  1.9039E-03	  1.9518E-03	  9.8801E-03	  1.7714E+00	  3.4180E-03	  4.1075E-04	  1.8035E-03	  5.5990E-05	  3.0896E-02	  4.0275E+00	  5.0895E-05	1.00
1998	1	1	1	13	  1.2697E-03	  1.3111E-03	  5.7853E-03	  1.3285E+00	  2.1797E-03	  2.8216E-04	  1.0649E-03	  3.5089E-05	  2.2693E-02	  3.0543E+00	  3.8118E-05	0.98
1998	1	1	1	14	  4.2497E-04	  4.4232E-04	  1.6371E-03	  5.0595E-01	  6.9719E-04	  1.0088E-04	  3.0996E-04	  1.0898E-05	  8.3830E-03	  1.2225E+00	  1.5241E-05	1.00
1998	1	1	1	15	  2.5380E-05	  2.6240E-05	  1.2538E-04	  2.5645E-02	  4.5087E-05	  8.1946E-06	  2.5538E-05	  7.3764E-07	  4.2834E-04	  6.1365E-02	  7.5618E-07	1.00
1998	1	1	1	16	  2.4140E-06	  2.4502E-06	  1.5552E-05	  4.3443E-05	  5.5421E-06	  3.0733E-06	  6.1759E-06	  1.1203E-07	  4.1917E-06	  7.8201E-05	  1.4919E-09	0.98
1998	1	1	1	17	  1.5403E-06	  1.5553E-06	  1.4435E-05	  3.2551E-05	  3.8020E-06	  1.6271E-06	  4.2604E-06	  7.2466E-08	  2.1693E-06	  2.7786E-04	  5.0566E-09	1.00
1998	1	1	1	18	  3.1598E-06	  3.2264E-06	  2.7636E-05	  5.8558E-05	  7.8840E-06	  3.8126E-06	  9.3437E-06	  1.5218E-07	  3.5703E-06	  1.6744E-05	 -2.0416E-09	1.00
1998	1	1	1	19	  3.4480E-06	  3.5081E-06	  2.9450E-05	  4.1903E-05	  8.4979E-06	  4.1224E-06	  9.9097E-06	  1.6479E-07	  3.9984E-06	  2.1239E-04	  2.6460E-09	0.98
1998	1	1	1	20	  1.9711E-06	  2.0203E-06	  1.3049E-05	 -1.2351E-04	  4.7258E-06	  2.8181E-06	  5.7022E-06	  9.6658E-08	  4.9915E-07	 -9.1588E-04	 -1.6083E-08	1.00
1998	1	1	1	21	  3.4139E-06	  3.4647E-06	  2.1757E-05	  5.2912E-05	  7.8152E-06	  4.3485E-06	  8.6818E-06	  1.5836E-07	  5.9144E-06	  6.3445E-06	  3.7970E-10	1.00
1998	1	1	1	22	  2.5823E-06	  2.6300E-06	  1.8867E-05	 -2.9822E-05	  6.1700E-06	  3.3242E-06	  7.1578E-06	  1.2324E-07	  2.6920E-06	 -3.0063E-04	 -5.3749E-09	0.98
1998	1	1	1	23	  1.7084E-06	  1.7443E-06	  1.9382E-05	 -1.2219E-05	  4.5893E-06	  1.8516E-06	  5.5982E-06	  8.4999E-08	  4.9964E-07	 -9.0631E-05	 -2.9228E-09	0.98
1998	1	2	2	0	  1.3136E-06	  1.3342E-06	  9.5482E-06	 -9.1868E-05	  3.1154E-06	  1.6690E-06	  3.5402E-06	  6.3244E-08	  5.9778E-07	 -6.9906E-04	 -1.1416E-08	1.00
1998	1	2	2	1	 -5.9271E-07	 -6.0611E-07	 -3.0889E-06	  5.2499E-05	 -1.3288E-06	 -8.2704E-07	 -1.4848E-06	 -2.8424E-08	 -3.6639E-07	  6.4801E-04	  1.1223E-08	0.98
1998	1	2	2	2	  2.1425E-06	  2.1869E-06	  1.6214E-05	  9.6673E-06	  5.2175E-06	  2.8355E-06	  6.2387E-06	  1.0298E-07	  2.1438E-06	  2.6586E-04	  4.0580E-09	1.00
1998	1	2	2	3	 -1.3015E-06	 -1.3103E-06	 -1.2582E-05	  1.5428E-05	 -3.1814E-06	 -1.2442E-06	 -3.4057E-06	 -6.1083E-08	 -1.6621E-06	  3.9691E-04	  6.4611E-09	1.00
1998	1	2	2	4	 -6.9440E-07	 -7.0929E-07	 -4.7372E-06	  2.6945E-05	 -1.6759E-06	 -9.9414E-07	 -2.0382E-06	 -3.3803E-08	 -2.8940E-07	 -8.6541E-06	 -3.3104E-10	0.98
1998	1	2	2	5	  5.3760E-07	  5.4859E-07	  4.6551E-06	 -1.4113E-05	  1.3583E-06	  6.9795E-07	  1.6584E-06	  2.6402E-08	  1.7754E-07	  3.6986E-05	  6.2814E-10	1.00
1998	1	2	2	6	  1.1630E-07	  1.2180E-07	  1.8909E-06	 -1.4611E-04	  3.4412E-07	  7.8146E-08	  3.6379E-07	  7.9372E-09	 -1.6112E-06	 -1.4758E-03	 -2.5421E-08	1.00
1998	1	2	2	7	  8.3577E-07	  8.4784E-07	  7.8499E-06	  3.7644E-05	  2.0257E-06	  7.8465E-07	  2.1601E-06	  3.8801E-08	  1.7672E-06	 -3.6825E-04	 -7.3003E-09	0.98
1998	1	2	2	8	  2.9822E-05	  3.0781E-05	  1.3949E-04	  2.9752E-02	  5.2250E-05	  9.8872E-06	  2.8403E-05	  8.6354E-07	  5.0089E-04	  7.1009E-02	  8.7856E-07	1.00
1998	1	2	2	9	  2.3272E-04	  2.4028E-04	  1.1001E-03	  2.3551E-01	  4.0054E-04	  6.2278E-05	  2.0514E-04	  6.5398E-06	  4.0222E-03	  5.3421E-01	  6.5656E-06	1.00
1998	1	2	2	10	  6.1090E-04	  6.2637E-04	  3.2574E-03	  5.6036E-01	  1.0933E-03	  1.3899E-04	  5.8403E-04	  1.8000E-05	  9.8070E-03	  1.2426E+00	  1.5469E-05	0.98
1998	1	2	2	11	  8.4296E-04	  8.6099E-04	  4.7975E-03	  7.0997E-01	  1.5518E-03	  1.8224E-04	  8.5393E-04	  2.5830E-05	  1.2651E-02	  1.4782E+00	  1.7971E-05	1.00
1998	1	2	2	12	  9.1040E-04	  9.3062E-04	  5.1213E-03	  7.7444E-01	  1.6670E-03	  1.9816E-04	  9.1001E-04	  2.7760E-05	  1.3789E-02	  1.5913E+00	  1.9150E-05	1.00
1998	1	2	2	13	  5.1998E-04	  5.3419E-04	  2.7741E-03	  4.6706E-01	  9.2748E-04	  1.2557E-04	  4.9815E-04	  1.5463E-05	  8.2306E-03	  9.2635E-01	  1.0726E-05	0.98
1998	1	2	2	14	  2.2484E-04	  2.3262E-04	  1.0441E-03	  2.2763E-01	  3.8682E-04	  6.4974E-05	  1.9963E-04	  6.3635E-06	  3.8739E-03	  4.9452E-01	  5.8646E-06	1.00
1998	1	2	2	15	  2.1146E-05	  2.1807E-05	  1.0316E-04	  2.0562E-02	  3.7422E-05	  7.0343E-06	  2.0776E-05	  6.2105E-07	  3.4741E-04	  4.8304E-02	  5.9352E-07	1.00
1998	1	2	2	16	  4.7818E-07	  4.8486E-07	  1.2891E-06	  5.8274E-06	  9.9381E-07	  7.5670E-07	  1.1082E-06	  2.1660E-08	  9.4800E-07	  2.1147E-04	  4.1894E-09	0.98
1998	1	2	2	17	  1.0371E-06	  1.0380E-06	  1.0129E-05	  1.3154E-05	  2.5112E-06	  9.3614E-07	  2.6190E-06	  4.7744E-08	  1.7384E-06	  3.2942E-05	  1.3337E-09	1.00
1998	1	2	2	18	 -7.3440E-07	 -7.4942E-07	 -2.9782E-06	  5.2738E-05	 -1.6159E-06	 -1.1385E-06	 -1.8659E-06	 -3.4952E-08	 -4.9648E-07	  3.1140E-04	  4.8575E-09	1.00
1998	1	2	2	19	 -1.1558E-06	 -1.1923E-06	 -1.1173E-05	  1.5544E-04	 -3.1039E-06	 -1.6238E-06	 -4.0433E-06	 -6.0681E-08	  1.8392E-06	  8.4575E-04	  1.5009E-08	0.98
1998	1	2	2	20	 -6.4672E-08	 -6.0074E-08	 -6.5519E-07	  2.0494E-05	 -1.4129E-07	 -3.7372E-08	 -9.9891E-08	 -2.8425E-09	  8.4121E-08	 -1.0062E-05	 -8.5798E-10	1.00
1998	1	2	2	21	 -3.9114E-07	 -3.8982E-07	 -1.5919E-06	 -4.4447E-05	 -7.4683E-07	 -3.8433E-07	 -5.7709E-07	 -1.5909E-08	 -1.8273E-06	  2.9399E-05	  3.6232E-10	1.00
1998	1	2	2	22	 -8.9667E-07	 -9.1090E-07	 -6.4058E-06	 -8.2112E-05	 -2.1167E-06	 -1.1289E-06	 -2.4386E-06	 -4.1257E-08	 -2.0988E-06	 -6.5393E-04	 -1.0951E-08	0.98
1998	1	2	2	23	 -1.3092E-08	 -7.7334E-09	  6.7552E-07	 -4.5106E-05	  7.4385E-08	  3.6953E-08	  2.3278E-07	  1.1676E-09	 -9.7987E-07	 -2.4944E-04	 -4.4779E-09	0.98
1998	1	3	3	0	  4.6703E-07	  4.7203E-07	  6.2812E-06	  2.8055E-05	  1.2600E-06	  3.2794E-07	  1.4056E-06	  2.2302E-08	  7.3108E-07	 -2.9387E-05	 -1.0732E-09	1.00
1998	1	3	3	1	 -3.6018E-07	 -3.6709E-07	 -3.3879E-06	  5.3529E-05	 -9.3765E-07	 -4.7653E-07	 -1.1637E-06	 -1.8453E-08	  5.0854E-07	  2.0246E-04	  3.1463E-09	0.98
1998	1	3	3	2	  4.8360E-07	  4.9456E-07	  5.9619E-06	 -1.1448E-05	  1.3137E-06	  4.5538E-07	  1.5598E-06	  2.4191E-08	  1.2343E-07	 -3.2932E-04	 -6.3934E-09	1.00
1998	1	3	3	3	  4.4576E-07	  4.4563E-07	  6.8078E-06	  1.0825E-04	  1.2487E-06	  2.5367E-07	  1.4218E-06	  2.0253E-08	  1.4827E-06	  9.0155E-04	  1.5134E-08	1.00
1998	1	3	3	4	 -2.6784E-07	 -2.7742E-07	  1.0511E-06	  3.3085E-05	 -4.6003E-07	 -5.6606E-07	 -5.1148E-07	 -1.2402E-08	 -3.2005E-07	  3.6897E-04	  6.2749E-09	0.98
1998	1	3	3	5	  4.1244E-07	  4.2435E-07	  3.7948E-06	 -1.0676E-04	  1.0711E-06	  5.4820E-07	  1.3161E-06	  2.1897E-08	 -1.0447E-06	 -8.6595E-04	 -1.4871E-08	1.00
1998	1	3	3	6	 -5.6777E-07	 -5.7745E-07	 -3.2693E-06	  4.4285E-05	 -1.2928E-06	 -7.8068E-07	 -1.4566E-06	 -2.7121E-08	 -3.2523E-07	  3.4890E-04	  5.6695E-09	1.00
1998	1	3	3	7	  1.1717E-07	  1.2875E-07	  7.5681E-06	  1.8169E-04	  6.9256E-07	 -3.9256E-07	  8.8599E-07	  6.0091E-09	  1.5978E-06	  3.0383E-04	  1.5217E-09	0.98
1998	1	3	3	8	  5.3600E-05	  5.5448E-05	  2.4966E-04	  5.4962E-02	  9.3896E-05	  1.7440E-05	  5.1415E-05	  1.5391E-06	  9.1903E-04	  1.3086E-01	  1.6092E-06	1.00
1998	1	3	3	9	  3.0380E-04	  3.1441E-04	  1.3794E-03	  3.1794E-01	  5.1838E-04	  7.9528E-05	  2.5995E-04	  8.4064E-06	  5.3982E-03	  7.1694E-01	  8.7398E-06	1.00
1998	1	3	3	10	  5.4753E-04	  5.6320E-04	  2.6751E-03	  5.3277E-01	  9.6048E-04	  1.2021E-04	  4.8495E-04	  1.5704E-05	  9.2449E-03	  1.1738E+00	  1.4458E-05	0.98
1998	1	3	3	11	  1.0688E-03	  1.0948E-03	  5.5095E-03	  9.7156E-01	  1.9208E-03	  2.2852E-04	  9.9973E-04	  3.1710E-05	  1.7077E-02	  2.1134E+00	  2.6141E-05	1.00
1998	1	3	3	12	  1.3360E-03	  1.3688E-03	  6.9821E-03	  1.2099E+00	  2.4051E-03	  2.8887E-04	  1.2659E-03	  3.9712E-05	  2.1271E-02	  2.6219E+00	  3.2341E-05	1.00
1998	1	3	3	13	  8.6891E-04	  8.9437E-04	  4.2661E-03	  8.4786E-01	  1.5218E-03	  1.9770E-04	  7.7749E-04	  2.4882E-05	  1.4684E-02	  1.8697E+00	  2.2978E-05	0.98
1998	1	3	3	14	  1.8616E-04	  1.9308E-04	  8.1225E-04	  2.0034E-01	  3.1461E-04	  4.8808E-05	  1.5348E-04	  5.0853E-06	  3.3812E-03	  4.4647E-01	  5.3644E-06	1.00
1998	1	3	3	15	  9.6658E-06	  1.0006E-05	  5.0636E-05	  1.0348E-02	  1.6997E-05	  2.0592E-06	  8.7023E-06	  2.7095E-07	  1.7240E-04	  2.3345E-02	  2.7841E-07	1.00
1998	1	3	3	16	  5.9867E-07	  6.0017E-07	  8.8219E-06	 -2.7211E-05	  1.6449E-06	  3.4623E-07	  1.7810E-06	  2.9222E-08	  1.8443E-07	 -4.0650E-04	 -7.0101E-09	0.98
1998	1	3	3	17	 -2.7224E-07	 -2.8044E-07	  1.5764E-06	  8.2060E-05	 -4.7469E-07	 -7.0456E-07	 -6.2097E-07	 -1.3431E-08	  4.9375E-07	  2.3084E-04	  2.9170E-09	1.00
