% Station Østerås, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:55:47
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2002	1	1	1	0	 -4.9690E-07	 -4.0602E-07	  9.6558E-06	  4.9660E-06	  4.1416E-08	 -3.2812E-06	 -9.6538E-07	 -2.8033E-08	  9.5116E-07	  4.6894E-04	  6.6360E-09	1.00
2002	1	1	1	1	 -2.0532E-07	 -2.9230E-07	 -1.2406E-05	  1.5589E-05	 -1.3596E-06	  1.5081E-06	 -9.4949E-07	 -7.2143E-09	 -1.7657E-06	  1.0454E-05	  1.1471E-10	1.00
2002	1	1	1	2	 -3.8627E-06	 -3.9994E-06	 -4.3605E-05	 -4.6327E-06	 -9.3541E-06	 -5.1690E-06	 -1.1493E-05	 -1.8924E-07	 -7.9387E-06	  7.5882E-05	  1.2052E-09	0.98
2002	1	1	1	3	  4.5660E-09	 -1.2979E-07	 -1.7501E-05	  2.5771E-05	 -1.4690E-06	  3.0852E-06	 -5.7023E-07	  4.9285E-09	 -2.2307E-06	 -6.4599E-05	 -9.4244E-10	1.00
2002	1	1	1	4	 -1.4193E-06	 -1.5757E-06	 -2.8271E-05	 -1.4024E-05	 -4.5024E-06	  4.3801E-07	 -4.5154E-06	 -6.4580E-08	 -5.4256E-06	  2.7815E-04	  4.1234E-09	1.00
2002	1	1	1	5	  3.2122E-06	  3.1501E-06	  1.4402E-05	  4.0089E-05	  5.8819E-06	  8.1021E-06	  8.7385E-06	  1.6328E-07	  3.8015E-06	 -2.2022E-04	 -3.5255E-09	0.98
2002	1	1	1	6	 -1.9859E-06	 -1.9694E-06	 -9.5431E-06	  3.5397E-05	 -3.8305E-06	 -5.0813E-06	 -5.7429E-06	 -1.0173E-07	 -1.6389E-06	  3.2820E-05	 -1.0517E-10	1.00
2002	1	1	1	7	  3.8442E-06	  3.8603E-06	  2.1855E-05	  8.6790E-04	  7.3086E-06	  7.1571E-06	  9.1454E-06	  1.7657E-07	  1.8746E-05	  1.5096E-03	  1.8248E-08	1.00
2002	1	1	1	8	  1.1808E-04	  1.2491E-04	  4.4574E-04	  1.4355E-01	  1.9293E-04	  3.0733E-05	  8.5009E-05	  3.0782E-06	  2.4355E-03	  3.3946E-01	  4.3798E-06	0.98
2002	1	1	1	9	  8.9106E-04	  9.3873E-04	  3.3515E-03	  1.1020E+00	  1.4141E-03	  2.3803E-04	  6.3227E-04	  2.2994E-05	  1.8648E-02	  2.5571E+00	  3.2918E-05	1.00
2002	1	1	1	10	  2.1472E-03	  2.2298E-03	  8.4031E-03	  2.4493E+00	  3.4828E-03	  5.1383E-04	  1.6205E-03	  5.7705E-05	  4.1429E-02	  5.6527E+00	  7.2736E-05	1.00
2002	1	1	1	11	  2.9147E-03	  3.0043E-03	  1.1811E-02	  3.1412E+00	  4.8314E-03	  6.6186E-04	  2.2826E-03	  8.0655E-05	  5.3218E-02	  7.2704E+00	  9.3688E-05	0.98
2002	1	1	1	12	  3.0963E-03	  3.1972E-03	  1.2397E-02	  3.3571E+00	  5.1168E-03	  7.0770E-04	  2.4057E-03	  8.5209E-05	  5.7007E-02	  7.6151E+00	  9.7794E-05	1.00
2002	1	1	1	13	  2.2732E-03	  2.3706E-03	  8.6412E-03	  2.7143E+00	  3.6430E-03	  5.6574E-04	  1.6761E-03	  5.9798E-05	  4.5598E-02	  6.5696E+00	  8.5176E-05	0.98
2002	1	1	1	14	  7.9355E-04	  8.3791E-04	  2.9505E-03	  1.0019E+00	  1.2586E-03	  2.2679E-04	  5.6262E-04	  2.0383E-05	  1.6857E-02	  2.4374E+00	  3.1581E-05	1.00
2002	1	1	1	15	  5.8935E-05	  6.2013E-05	  2.5486E-04	  6.5980E-02	  9.8524E-05	  2.0530E-05	  5.1091E-05	  1.6486E-06	  1.1261E-03	  1.5459E-01	  1.9872E-06	1.00
2002	1	1	1	16	 -8.1161E-08	  2.5420E-09	  7.9129E-06	  9.7466E-05	  5.8424E-07	 -1.9676E-06	 -1.4664E-07	 -9.4998E-09	  3.1388E-06	  5.1793E-05	  4.7575E-10	0.98
2002	1	1	1	17	  1.3976E-06	  1.3926E-06	  1.0498E-05	 -4.6402E-05	  2.9022E-06	  2.9891E-06	  4.0909E-06	  7.1820E-08	  9.4732E-07	  4.5465E-05	  7.1136E-10	1.00
2002	1	1	1	18	  6.0170E-06	  5.9517E-06	  3.2642E-05	 -4.4689E-05	  1.1632E-05	  1.4604E-05	  1.7064E-05	  3.0731E-07	  5.8059E-06	 -2.5661E-05	  3.6563E-11	1.00
2002	1	1	1	19	  3.1918E-06	  3.1463E-06	  1.4937E-05	 -2.0877E-05	  6.0055E-06	  8.1263E-06	  8.9844E-06	  1.6322E-07	  2.9699E-06	 -1.2809E-04	 -1.5243E-09	0.98
