% Station Østerås, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 13:57:01
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2016	1	1	1	0	 -9.3877E-07	 -9.1773E-07	 -5.0835E-06	  2.6532E-05	 -1.7845E-06	 -2.4455E-06	 -2.7629E-06	 -4.9363E-08	 -1.5002E-07	 -3.1345E-04	 -4.6398E-09	1.00
2016	1	1	1	1	  2.8383E-07	  3.0634E-07	  2.4794E-06	  2.4364E-05	  7.0848E-07	  4.0666E-07	  8.4083E-07	  1.2807E-08	  1.2423E-06	 -8.4758E-05	 -1.0261E-09	1.00
2016	1	1	1	2	 -6.0633E-07	 -5.9880E-07	 -4.1389E-06	 -8.8906E-06	 -1.1863E-06	 -1.2538E-06	 -1.6208E-06	 -3.0472E-08	 -8.9303E-07	  1.0163E-04	  1.7311E-09	0.98
2016	1	1	1	3	 -2.5612E-06	 -2.5281E-06	 -1.6192E-05	  8.2065E-06	 -5.0283E-06	 -5.9104E-06	 -7.2812E-06	 -1.3134E-07	 -2.3399E-06	 -3.6470E-04	 -5.0412E-09	1.00
2016	1	1	1	4	  6.0981E-07	  6.0748E-07	  2.5835E-06	 -1.1300E-05	  1.1832E-06	  1.6495E-06	  1.8207E-06	  3.1334E-08	  4.6618E-07	  7.8086E-05	  1.4726E-09	1.00
2016	1	1	1	5	  6.9108E-07	  6.8292E-07	  3.3710E-06	 -2.5790E-05	  1.3414E-06	  1.8615E-06	  2.0898E-06	  3.6152E-08	  1.5610E-07	  1.8151E-04	  2.9434E-09	0.98
2016	1	1	1	6	 -1.0104E-06	 -1.0007E-06	 -6.6295E-06	 -1.0922E-05	 -1.9956E-06	 -2.2065E-06	 -2.8022E-06	 -5.1129E-08	 -1.3217E-06	 -1.7332E-05	 -3.8172E-11	1.00
2016	1	1	1	7	  1.7524E-06	  1.7552E-06	  9.3796E-06	  1.2621E-04	  3.4259E-06	  3.9358E-06	  4.7624E-06	  8.5883E-08	  4.2842E-06	  1.6540E-04	  2.2100E-09	1.00
2016	1	1	1	8	  2.7649E-05	  2.8930E-05	  1.2263E-04	  2.4912E-02	  4.8586E-05	  2.1703E-05	  3.6280E-05	  8.9445E-07	  4.3267E-04	  6.0056E-02	  7.7997E-07	0.98
2016	1	1	1	9	  1.4539E-04	  1.5279E-04	  4.7629E-04	  1.7710E-01	  2.2759E-04	  5.6313E-05	  1.0890E-04	  3.8252E-06	  2.9915E-03	  4.1358E-01	  5.3355E-06	1.00
2016	1	1	1	10	  3.8297E-04	  3.9603E-04	  1.3297E-03	  4.4011E-01	  6.0355E-04	  1.0424E-04	  2.7021E-04	  1.0285E-05	  7.4081E-03	  1.0158E+00	  1.3058E-05	1.00
2016	1	1	1	11	  4.9729E-04	  5.1030E-04	  1.8911E-03	  5.3207E-01	  8.0661E-04	  1.3027E-04	  3.8432E-04	  1.3915E-05	  8.9832E-03	  1.2255E+00	  1.5749E-05	0.98
2016	1	1	1	12	  6.0118E-04	  6.1832E-04	  2.1742E-03	  6.7205E-01	  9.6319E-04	  1.5372E-04	  4.3893E-04	  1.6420E-05	  1.1265E-02	  1.6215E+00	  2.1025E-05	1.00
2016	1	1	1	13	  4.3984E-04	  4.5736E-04	  1.4620E-03	  5.1932E-01	  6.8826E-04	  1.2750E-04	  3.0618E-04	  1.1617E-05	  8.7559E-03	  1.1889E+00	  1.5274E-05	0.98
2016	1	1	1	14	  1.0228E-04	  1.0774E-04	  3.4587E-04	  1.2237E-01	  1.6240E-04	  4.4949E-05	  8.2449E-05	  2.7413E-06	  2.0735E-03	  2.8710E-01	  3.7088E-06	1.00
2016	1	1	1	15	  1.0420E-05	  1.0751E-05	  5.4370E-05	  6.5599E-03	  1.9155E-05	  1.2049E-05	  1.8124E-05	  3.9233E-07	  1.1869E-04	  1.4852E-02	  1.9080E-07	1.00
2016	1	1	1	16	  1.5178E-06	  1.5015E-06	  8.3588E-06	  1.2857E-06	  2.9368E-06	  3.6547E-06	  4.2950E-06	  7.7374E-08	  1.6203E-06	  7.6719E-05	  1.1548E-09	0.98
2016	1	1	1	17	 -1.0940E-06	 -1.0775E-06	 -6.2673E-06	 -2.9268E-06	 -2.0940E-06	 -2.5665E-06	 -3.0292E-06	 -5.5753E-08	 -1.1799E-06	  1.4977E-05	  3.7736E-10	1.00
2016	1	1	1	18	  9.6481E-07	  9.4683E-07	  5.3159E-06	 -1.7036E-05	  1.8376E-06	  2.3884E-06	  2.7465E-06	  4.9922E-08	  5.7246E-07	  8.3693E-05	  1.2036E-09	1.00
2016	1	1	1	19	 -6.0702E-07	 -6.1463E-07	 -2.5487E-06	 -1.7690E-05	 -1.1918E-06	 -1.4353E-06	 -1.6571E-06	 -2.9479E-08	 -1.4089E-06	  3.0141E-04	  4.1637E-09	0.98
