% Station Trondheim, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1902	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1900	- 1900
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	
% Pyranometer-based gapfilling for station Bergen, period 1995-2021: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no).
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-2021: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-2021: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-2021: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1999	1	1	1	0	 -2.3039E-07	 -2.3314E-07	 -8.1865E-07	 -7.2081E-05	 -4.9113E-07	 -4.2002E-07	 -5.4737E-07	 -9.8467E-09	 -1.4810E-06	 -1.7044E-04	 -2.1255E-09	0.98
1999	1	1	1	1	 -8.4732E-07	 -8.5099E-07	 -1.6068E-06	  1.8098E-04	 -1.9146E-06	 -2.3778E-06	 -2.5573E-06	 -4.4456E-08	  7.3792E-07	  1.2796E-03	  2.2023E-08	1.00
1999	1	1	1	2	 -3.7806E-07	 -3.7681E-07	  7.2887E-07	  9.5621E-05	 -8.0613E-07	 -1.3560E-06	 -1.1780E-06	 -1.9602E-08	  5.2287E-07	  2.2958E-04	  2.8968E-09	0.98
1999	1	1	1	3	 -1.7191E-06	 -1.7286E-06	 -1.1706E-05	  5.6995E-05	 -4.3747E-06	 -3.7253E-06	 -6.0184E-06	 -8.8465E-08	 -1.0002E-06	  2.4016E-04	  3.8240E-09	1.00
1999	1	1	1	4	 -6.4684E-07	 -6.5769E-07	 -3.0877E-06	  1.0027E-04	 -1.6342E-06	 -1.8211E-06	 -2.4915E-06	 -3.5766E-08	  9.3318E-07	  6.9800E-04	  1.2657E-08	1.00
1999	1	1	1	5	 -8.6187E-07	 -8.6775E-07	 -2.2973E-06	  5.1286E-05	 -1.9963E-06	 -2.3644E-06	 -2.7895E-06	 -4.3666E-08	 -5.9372E-07	  2.5193E-04	  4.3278E-09	0.98
1999	1	1	1	6	 -8.4334E-07	 -8.5419E-07	 -5.8068E-06	  5.4640E-05	 -2.1623E-06	 -1.8871E-06	 -3.0489E-06	 -4.4785E-08	  1.0931E-08	  6.3037E-04	  1.1846E-08	1.00
1999	1	1	1	7	  1.8956E-06	  1.9114E-06	  9.4559E-06	 -8.8837E-05	  4.5913E-06	  4.4631E-06	  6.2366E-06	  9.6992E-08	  1.3683E-06	 -1.0025E-03	 -1.8524E-08	1.00
1999	1	1	1	8	  1.2578E-05	  1.3266E-05	  3.8841E-05	  1.8710E-02	  1.9833E-05	  2.0507E-06	  8.3806E-06	  2.8165E-07	  2.8950E-04	  5.0656E-02	  6.5816E-07	0.98
1999	1	1	1	9	  2.7471E-04	  2.8874E-04	  7.9446E-04	  3.8368E-01	  4.3981E-04	  8.3009E-05	  2.0740E-04	  6.4972E-06	  5.9918E-03	  1.0404E+00	  1.3569E-05	1.00
1999	1	1	1	10	  9.1271E-04	  9.5619E-04	  2.5746E-03	  1.1901E+00	  1.4646E-03	  2.7606E-04	  6.7535E-04	  2.2661E-05	  1.9047E-02	  3.0498E+00	  3.9184E-05	1.00
1999	1	1	1	11	  1.1895E-03	  1.2430E-03	  3.0791E-03	  1.5482E+00	  1.8767E-03	  2.9915E-04	  7.6826E-04	  2.9477E-05	  2.5129E-02	  3.9246E+00	  5.0593E-05	0.98
1999	1	1	1	12	  1.0356E-03	  1.0824E-03	  2.7646E-03	  1.3337E+00	  1.6425E-03	  2.6829E-04	  6.8897E-04	  2.5929E-05	  2.1652E-02	  3.3294E+00	  4.2509E-05	1.00
1999	1	1	1	13	  5.8315E-04	  6.1152E-04	  1.5950E-03	  7.8812E-01	  9.2954E-04	  1.7736E-04	  4.2399E-04	  1.3956E-05	  1.2487E-02	  2.1224E+00	  2.7886E-05	0.98
1999	1	1	1	14	  1.0730E-04	  1.1289E-04	  3.3158E-04	  1.4890E-01	  1.7371E-04	  3.2483E-05	  8.5968E-05	  2.5961E-06	  2.3195E-03	  3.9342E-01	  5.0458E-06	1.00
1999	1	1	1	15	  1.4630E-06	  1.6086E-06	 -6.0990E-07	  4.1642E-03	  1.0261E-06	 -2.3436E-06	 -2.7434E-06	 -5.1750E-09	  6.3016E-05	  1.1263E-02	  1.4628E-07	1.00
1999	1	1	1	16	  1.2300E-06	  1.2338E-06	  1.0556E-05	 -1.7369E-05	  3.2330E-06	  2.2943E-06	  4.3484E-06	  6.3063E-08	  9.2605E-07	  1.6925E-06	  5.9142E-10	0.98
1999	1	1	1	17	 -1.6450E-06	 -1.6509E-06	 -9.3782E-06	  2.0756E-06	 -4.0551E-06	 -3.6964E-06	 -5.5007E-06	 -8.2420E-08	 -2.0127E-06	 -2.4378E-04	 -4.8977E-09	1.00
1999	1	1	1	18	 -1.5983E-06	 -1.5913E-06	 -6.1446E-06	  5.5700E-05	 -3.6874E-06	 -3.6576E-06	 -4.6007E-06	 -7.7334E-08	 -2.4642E-06	 -9.7889E-06	 -2.1844E-09	1.00
