% Station Trondheim, mean hourly (UTC hour +/- 30 minutes) irradiances and sampling fraction (0= complete loss of measurements, 1=lossfree measurement)
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: W/m^2. Units PAR: mol/s/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 14:00:32
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
2017	1	1	1	0	 -3.7519E-07	 -3.8265E-07	  1.6516E-06	  9.5978E-06	 -7.4356E-07	 -1.4804E-06	 -1.1925E-06	 -1.8765E-08	 -4.5967E-07	  5.3558E-05	  1.4977E-09	1.00
2017	1	1	1	1	  4.8321E-07	  4.8697E-07	 -1.2821E-05	 -6.8904E-05	  2.8078E-07	  3.0662E-06	  3.6455E-07	  1.9753E-08	  1.7513E-06	 -4.4971E-04	 -8.2351E-09	1.00
2017	1	1	1	2	  1.0033E-06	  1.0020E-06	  4.4377E-06	  2.8329E-05	  2.3274E-06	  2.1572E-06	  2.8847E-06	  4.7859E-08	  2.3017E-06	  1.8178E-04	  3.6137E-09	0.98
2017	1	1	1	3	  5.2738E-07	  5.4029E-07	  5.8540E-06	  1.3876E-05	  1.5457E-06	  1.1312E-06	  2.4647E-06	  2.9557E-08	 -2.7246E-07	  8.2458E-05	  5.6737E-10	1.00
2017	1	1	1	4	  2.1234E-06	  2.1211E-06	  1.8925E-05	  1.0640E-04	  5.4714E-06	  3.3205E-06	  6.8281E-06	  1.0401E-07	  4.2685E-06	  5.5541E-04	  1.0528E-08	1.00
2017	1	1	1	5	  1.9675E-06	  1.9692E-06	  7.4688E-06	  5.9721E-05	  4.4980E-06	  4.4213E-06	  5.6209E-06	  9.3913E-08	  4.6106E-06	  1.9387E-04	  3.5208E-09	0.98
2017	1	1	1	6	  4.5226E-07	  4.4691E-07	 -2.1674E-07	 -1.5050E-05	  8.4219E-07	  9.7743E-07	  6.9481E-07	  1.9698E-08	  1.6101E-06	 -4.1119E-04	 -7.0528E-09	1.00
2017	1	1	1	7	  2.3235E-06	  2.3359E-06	  2.3815E-05	  1.7112E-04	  6.2704E-06	  3.6337E-06	  8.3544E-06	  1.1714E-07	  3.9639E-06	  8.7387E-04	  1.4633E-08	1.00
2017	1	1	1	8	  5.7945E-06	  5.9698E-06	  4.8066E-05	  4.5615E-03	  1.2678E-05	  2.9451E-06	  1.1841E-05	  2.1099E-07	  7.2646E-05	  1.0946E-02	  1.3490E-07	0.98
2017	1	1	1	9	  3.8520E-05	  4.0877E-05	  3.6147E-07	  7.1325E-02	  4.2626E-05	 -1.7063E-05	 -3.0168E-05	  4.8128E-07	  1.1370E-03	  1.7672E-01	  2.2167E-06	1.00
2017	1	1	1	10	  1.8727E-04	  1.9627E-04	  5.7336E-04	  2.6623E-01	  2.8089E-04	 -1.0272E-05	  4.1129E-05	  4.0510E-06	  4.3091E-03	  6.4472E-01	  8.1038E-06	1.00
2017	1	1	1	11	  3.9615E-04	  4.1265E-04	  1.0781E-03	  5.0550E-01	  6.1332E-04	  6.2163E-05	  1.7202E-04	  9.6670E-06	  8.3691E-03	  1.1941E+00	  1.4915E-05	0.98
2017	1	1	1	12	  5.3358E-04	  5.5545E-04	  1.3443E-03	  6.6237E-01	  8.3121E-04	  1.1421E-04	  2.6408E-04	  1.3338E-05	  1.0993E-02	  1.5633E+00	  1.9493E-05	1.00
2017	1	1	1	13	  2.5797E-04	  2.7041E-04	  6.7274E-04	  3.5232E-01	  3.9215E-04	  3.0337E-05	  9.6322E-05	  5.8743E-06	  5.6857E-03	  8.5321E-01	  1.0641E-05	0.98
2017	1	1	1	14	  1.0631E-04	  1.1193E-04	  2.8204E-04	  1.6959E-01	  1.5331E-04	 -1.7557E-05	  1.4667E-05	  2.0151E-06	  2.6683E-03	  4.4951E-01	  5.8312E-06	1.00
2017	1	1	1	15	  6.0177E-06	  6.1422E-06	  7.6808E-05	  2.9428E-03	  1.5743E-05	  2.9841E-06	  1.8009E-05	  2.6329E-07	  4.5279E-05	  7.0611E-03	  8.8020E-08	1.00
2017	1	1	1	16	  7.4327E-07	  7.4489E-07	  1.0530E-05	  3.5872E-05	  2.1716E-06	  7.7255E-07	  2.8532E-06	  3.8526E-08	  7.4876E-07	  1.9961E-04	  3.7056E-09	0.98
2017	1	1	1	17	  3.0582E-06	  3.0647E-06	  2.5699E-05	  1.0217E-04	  7.9230E-06	  5.4692E-06	  1.0413E-05	  1.5285E-07	  4.6745E-06	  7.8921E-04	  1.4739E-08	1.00
2017	1	1	1	18	  1.4702E-06	  1.4705E-06	  8.2446E-06	  9.3916E-05	  3.5124E-06	  2.9443E-06	  4.4076E-06	  7.0184E-08	  3.7225E-06	  5.5729E-04	  1.0007E-08	1.00
2017	1	1	1	19	 -4.2103E-07	 -4.3018E-07	 -1.2601E-05	  5.0869E-05	 -1.7190E-06	  2.3480E-08	 -2.6590E-06	 -2.7698E-08	  2.0723E-06	  3.1079E-04	  5.5614E-09	0.98
